id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047,-16.1830, 19.3256,  0.4101,  1.2317,  1.0808,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479,-16.2131, 19.7619,  0.0274,  0.7281,  1.0808,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604,-16.0086, 21.9966,  1.1929,  0.4547,  5.4995,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449,-16.3541, 22.1552,  1.2550,  0.0000,  3.3600,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987,-18.4756, 23.3608,  0.9558,  2.2946,  5.4995,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590,-20.4174, 26.8981,  0.6879,  5.1746,  4.8678,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313,-17.6088, 23.2451,  0.9249,  2.7552,  5.4995,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843,-14.8110, 23.4977,  0.2397,  2.5096,  5.4995,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505,-17.3116, 23.6799,  0.6304,  3.0302,  5.4995,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830,-12.6514, 20.6924,  0.3911,  2.5496,  0.8984,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232,-15.9994, 19.4508,  0.2086,  1.1649,  1.0808,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601,-12.4311, 20.5430,  0.4525,  2.4501,  0.8984,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672,-15.6829, 22.2667,  1.0775,  1.8581,  5.4995,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676,-17.2211, 23.8439,  0.5466,  3.0302,  5.4995,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
224092,-15.6423, 22.3238,  1.0322,  1.8581,  5.4995,2245832700.0000, 13.2609,  0.0171, 76.0017, 26.4636
242403, 53.2254,-24.1704,  0.0084,  0.4306,  3.0818,1037181700.0000, 91.3796,  0.0146, 45.7487, 69.0239
248932, 32.8795,-47.1824,  0.7099,  6.4296,  3.6197,1755226880.0000, 99.5526,  0.0149, 72.8045, 49.1026
628809, 62.8629, -3.5110,  0.7530,  2.2820,  3.3848,1092157310.0000, 75.7547,  0.0135, 22.0572, 30.9086
645637, -3.8136,-21.0286,  0.4276,  5.7359, 10.5626,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
973239, -0.6104,-20.7823,  1.7751,  3.0411, 10.5626,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
983785, 78.0117,  7.4713,  0.0227,  0.1521,  3.2413,1039448700.0000, 76.9730,  0.0124,  8.5831, 74.2066
1001280, -2.7339, 43.3690,  0.3664,  1.4891,  3.0823,1332567940.0000,  3.5934,  0.0135, 57.4127, 54.7118
1006130,  9.0718,-20.7149,  0.6531,  0.1085,  4.5216,3278809090.0000, 65.1359,  0.0138, 80.6470, 56.9473
1019827,-17.0205, 20.4723,  0.3311,  0.0211,  1.0808,1989688450.0000, 16.7588,  0.0136, 82.7109, 63.6866
