id,xslice,yslice,SM,x,Metal,y,z
2,-27.3111, 29.3508,73399960000.0000, 11.0045,  0.0223, 81.2357, 54.7311
13632,-20.3084, 28.0592,72288838000.0000, 17.9992,  0.0234, 79.9481, 53.4060
21794,-27.1559, 29.0206,42610799000.0000, 11.1985,  0.0234, 80.8858, 54.7863
23302,-27.1683, 28.7219,45890937000.0000, 11.1793,  0.0334, 80.5905, 54.7433
24478,-20.3849, 27.9309,25318631400.0000, 17.9053,  0.0157, 79.8287, 53.3584
26264,-20.2672, 28.1036,36624663000.0000, 18.2082,  0.0327, 79.9072, 53.8781
27474,-27.1934, 29.1449,27707922400.0000, 11.2666,  0.0175, 80.9562, 55.1027
28851,-20.4117, 28.0386,30818492400.0000, 17.8327,  0.0301, 79.9597, 53.2424
29818,-26.3331, 28.8317,24412020700.0000, 12.1092,  0.0247, 80.6521, 54.8788
30903,-19.3471, 27.6491,20266199000.0000, 18.6819,  0.0126, 79.6798, 52.4178
32367,-19.2941, 28.1326,19582564400.0000, 18.7949,  0.0225, 80.1328, 52.6206
33116,-20.0849, 28.1107,13551981600.0000, 18.0641,  0.0213, 80.0804, 52.9228
33641,-26.2310, 28.4062,13899153400.0000, 12.3551,  0.0220, 80.1535, 55.2319
34157,-20.3939, 27.9830,31275702300.0000, 17.9873,  0.0244, 79.8345, 53.6222
35658,-20.7430, 27.5091,23483746300.0000, 17.2249,  0.0224, 79.5709, 52.4698
36469,-22.0822, 26.5994,11182698500.0000, 16.0697,  0.0212, 78.5676, 53.1401
37177,-19.9186, 28.5688,22967476200.0000, 18.3309,  0.0232, 80.4873, 53.2191
37879,-27.8705, 29.2956,19705598000.0000, 10.5932,  0.0230, 81.1051, 55.2414
38548,-26.0826, 29.0028,8757638100.0000, 11.7960,  0.0206, 81.1100, 53.2544
38952,-20.1938, 28.0793,18503469100.0000, 18.1740,  0.0159, 79.9376, 53.5587
40905,-28.5190, 29.5540,12835824600.0000, 10.1884,  0.0187, 81.2395, 56.0643
41635,-28.1803, 27.6877,8436896800.0000, 10.1772,  0.0197, 79.5513, 54.8538
42234,-29.0215, 30.1825,20780314600.0000,  9.4876,  0.0250, 81.9689, 55.6423
43262,-22.5101, 26.1204,21991327700.0000, 15.4625,  0.0283, 78.1799, 52.6636
44049,-19.7072, 28.3491,15288461300.0000, 18.7586,  0.0195, 80.1575, 53.7770
44842,-27.7810, 29.7960,15665563600.0000, 10.7633,  0.0215, 81.5645, 55.4975
45652,-26.2733, 29.8617,5356416000.0000, 12.1428,  0.0173, 81.6955, 54.8837
46460,-22.8277, 25.9202,6655713800.0000, 15.4424,  0.0182, 77.8282, 53.5429
47025,-27.4943, 29.8342,16249038800.0000, 10.9453,  0.0241, 81.6559, 55.1558
47680,-29.5857, 29.8832,5144922600.0000,  8.8785,  0.0176, 81.6925, 55.5851
48093,-18.9845, 27.5582,4012383230.0000, 19.4187,  0.0176, 79.3985, 53.4081
48442,-20.2535, 27.7765,15053407200.0000, 17.9778,  0.0176, 79.7043, 53.1558
48897,-26.0387, 29.2747,9110386700.0000, 11.8801,  0.0178, 81.3615, 53.3842
49829,-22.7189, 24.9648,2796273920.0000, 15.0187,  0.0169, 77.1438, 51.9335
50129,-21.2329, 27.2002,9248644100.0000, 17.2432,  0.0167, 79.0034, 53.9660
50759,-29.4881, 30.3196,31564300300.0000,  9.1592,  0.0257, 82.0356, 56.1250
51530,-21.7232, 27.6374,6244685800.0000, 16.3573,  0.0176, 79.6419, 52.9665
51988,-25.7647, 30.1351,6506705400.0000, 12.2815,  0.0179, 82.1571, 53.7729
52523,-20.0193, 27.7465,10966565900.0000, 18.2763,  0.0208, 79.6416, 53.2956
53228,-25.7528, 28.5333,4268648960.0000, 12.4930,  0.0167, 80.4536, 54.1979
54095,-27.5916, 29.3310,8769028100.0000, 10.8882,  0.0183, 81.1324, 55.2424
54528,-27.2476, 28.9556,15000535000.0000, 11.1871,  0.0211, 80.7798, 55.0237
55308,-20.8928, 27.4350,7901290500.0000, 17.6119,  0.0190, 79.2236, 54.0097
55734,-21.9096, 27.3844,3444192510.0000, 16.7779,  0.0154, 79.0800, 54.6961
56192,-26.8641, 28.8251,7259525600.0000, 11.3533,  0.0188, 80.7600, 54.3315
56544,-27.6720, 29.2302,10555963400.0000, 10.6940,  0.0229, 81.0894, 54.9251
56966,-20.0685, 28.1611,24500727800.0000, 18.3308,  0.0233, 80.0034, 53.6336
57962,-22.4122, 26.3019,15569965100.0000, 15.6576,  0.0232, 78.3119, 52.9378
59098,-22.0603, 26.1888,9521174500.0000, 15.9474,  0.0196, 78.2303, 52.6923
59535,-22.6229, 25.3649,2723581180.0000, 15.5038,  0.0131, 77.3459, 53.0540
59942,-26.5125, 28.6965,4179014140.0000, 11.7477,  0.0179, 80.6095, 54.3818
60284,-20.7174, 27.0199,3498993410.0000, 17.7850,  0.0126, 78.8098, 53.9371
60682,-19.9219, 29.1412,8423742000.0000, 18.1863,  0.0196, 81.1316, 52.8689
61244,-27.5074, 29.6293,1903144580.0000, 11.0118,  0.0165, 81.4105, 55.3656
61600,-20.6683, 27.6239,11907090400.0000, 17.6594,  0.0215, 79.5026, 53.4863
62996,-22.6044, 24.8488,4184239870.0000, 15.1502,  0.0163, 77.0192, 51.9521
63431,-19.3016, 27.0700,3529928450.0000, 18.7998,  0.0169, 79.0639, 52.5650
64010,-20.1603, 28.0159,11549554700.0000, 18.2844,  0.0215, 79.8351, 53.7654
64560,-21.6483, 26.5861,2385228800.0000, 16.0560,  0.0168, 78.7820, 51.7971
65349,-25.7700, 28.7221,4537515000.0000, 12.6088,  0.0158, 80.5748, 54.5939
65696,-20.2390, 28.1242,18428780500.0000, 18.0747,  0.0265, 80.0101, 53.4168
66177,-21.0005, 28.3842,7371783700.0000, 17.3266,  0.0180, 80.2632, 53.6070
66894,-25.5012, 29.9929,5616771600.0000, 12.3704,  0.0155, 82.1037, 53.2214
67362,-26.9832, 30.0650,9273958400.0000, 11.4528,  0.0171, 81.8886, 55.0786
67922,-20.3248, 28.1154,3452675840.0000, 17.8878,  0.0151, 80.0527, 53.1444
68376,-19.6196, 27.7828,3797694210.0000, 19.0806,  0.0145, 79.4720, 54.3770
68767,-22.4131, 26.1184,11333333000.0000, 15.6514,  0.0224, 78.1310, 52.9072
69011,-28.3490, 29.9890,2278211070.0000, 10.0822,  0.0163, 81.8150, 55.2905
69513,-21.2802, 25.2520,2051391620.0000, 16.4436,  0.0145, 77.4381, 51.6742
69844,-28.7607, 30.3820,3124350720.0000, 10.0983,  0.0159, 81.9903, 56.6065
70222,-22.4486, 26.2468,11424725000.0000, 15.5891,  0.0281, 78.2731, 52.8484
71204,-19.9326, 28.7638,3992393220.0000, 18.6416,  0.0172, 80.5171, 54.1582
71774,-20.3201, 27.6031,5166474200.0000, 18.0668,  0.0172, 79.4517, 53.5930
72437,-27.7394, 29.9994,4564908500.0000, 10.6401,  0.0127, 81.8518, 55.0412
72820,-28.6334, 29.4453,6397802000.0000,  9.9811,  0.0169, 81.1781, 55.8110
73483,-26.8145, 29.3153,3566778880.0000, 11.2541,  0.0128, 81.3259, 53.9441
74035,-27.7825, 30.4998,1651835650.0000, 10.8197,  0.0134, 82.2388, 55.7229
74232,-19.1493, 27.9349,3524419840.0000, 18.6985,  0.0157, 80.0579, 51.8952
74424,-27.1566, 31.2348,2123014140.0000, 11.4544,  0.0114, 82.9694, 55.7051
74732,-20.0910, 27.6623,5782540300.0000, 18.1886,  0.0170, 79.5654, 53.2553
75134,-20.4162, 28.3575,3407129860.0000, 17.6487,  0.0132, 80.3700, 52.7624
75479,-20.1055, 26.3165,1737222530.0000, 18.4612,  0.0132, 78.0735, 53.9547
75815,-25.9572, 30.0945,2079754110.0000, 12.6693,  0.0151, 81.8212, 55.4460
76236,-20.4936, 26.7839,1548428420.0000, 17.3856,  0.0114, 78.8909, 52.1132
76614,-18.7986, 27.5486,1619541890.0000, 19.6528,  0.0131, 79.3644, 53.5120
76911,-22.2829, 26.1794,5083629100.0000, 15.9311,  0.0161, 78.1159, 53.3138
