id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047, 23.9373,-39.5180,  1.7186,  0.1891,  1.4068,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479, 23.2723,-39.4303,  1.3306,  0.1891,  1.4068,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604, 21.1744,-40.2398,  1.3939,  0.0000,  0.9787,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449, 20.5795,-39.9662,  0.8460,  0.0000,  0.9787,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987, 21.0831,-43.0808,  0.5603,  5.5423,  4.8205,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590, 19.2024,-46.8441,  0.8312,  3.8104,  4.2946,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313, 21.4120,-42.9142,  0.5694,  5.6813,  4.8205,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843, 18.6782,-39.1781,  0.1554,  1.8554,  1.8797,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505, 21.1184,-43.0888,  0.5313,  5.5423,  4.8205,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830, 21.1845,-37.0294,  0.0585,  1.6453,  2.6090,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232, 22.9060,-38.5100,  0.3543,  0.1891,  1.4068,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601, 21.1730,-36.7156,  0.1084,  1.6131,  2.6090,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672, 20.7404,-40.0197,  0.9634,  0.0000,  0.9787,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676, 20.1030,-42.1909,  0.1368,  1.1043,  1.1778,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
215850,-31.9236, 21.3873,  0.0261,  1.2105,  1.5765,1999499010.0000, 31.4850,  0.0128, 10.8654, 11.1023
224092, 12.2844,-30.9924,  0.8232,  0.0000,  4.5182,2245832700.0000, 13.2609,  0.0171, 76.0017, 26.4636
248932, 63.4266, 31.9723,  1.4523,  2.0073,  3.1394,1755226880.0000, 99.5526,  0.0149, 72.8045, 49.1026
630781, 39.6023, 44.6330,  0.8119,  0.0000,  2.5272,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
645637, 52.1610, -7.8942,  0.6654,  3.1863, 14.2797,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
973239, 44.9936,  0.7843,  0.0385,  1.4632,  2.4094,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
1001280, -3.1357,-38.7531,  0.1457,  0.1539,  4.4125,1332567940.0000,  3.5934,  0.0135, 57.4127, 54.7118
1006130, 51.2493, -2.0464,  0.0726,  2.9006,  2.9218,3278809090.0000, 65.1359,  0.0138, 80.6470, 56.9473
1019827, 26.2242,-43.9377,  0.8062,  0.0000,  0.5569,1989688450.0000, 16.7588,  0.0136, 82.7109, 63.6866
1042132, -8.1841,-31.6503,  0.9195,  3.4384,  1.6808,1541536510.0000,  6.3511,  0.0127, 49.8223, 51.4380
1042563, -8.3626,-31.5357,  0.9395,  3.2407,  1.6808,1381412480.0000,  6.2650,  0.0167, 49.7629, 50.9762
1337769, 51.1490, 13.1255,  0.1099,  0.0372,  0.8671,3066397700.0000, 74.8855,  0.0168, 77.2785, 39.7986
1338445, 50.1424, 13.2267,  0.9104,  0.5992,  1.9262,1330057980.0000, 74.3199,  0.0139, 76.5495, 39.2376
