id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
2808046, 21.9249,  4.0657,  1.6931,  0.4377,  1.5865,5613601800.0000, 77.1190,  0.0188, 73.4115, 50.8563
2809872, -2.2044, 18.7818,  0.1430,  0.2142,  2.0083,2831047170.0000, 42.1041,  0.0147, 71.3406, 45.9425
2810037, -2.4239, 18.3576,  0.1522,  0.0535,  2.3889,2966894850.0000, 42.2553,  0.0160, 71.4880, 45.4987
2810484,  4.9559,-28.4766,  0.0366,  2.8912, 13.9397,3075482880.0000, 73.3028,  0.0130, 61.1524, 11.1611
2810806, -0.2160, 50.6272,  0.0669,  1.5740,  7.1788,1051903870.0000, 18.1569,  0.0144, 63.1898, 70.3485
2812054, 69.0690,  1.8610,  0.0921,  1.1629,  2.4457,2194374910.0000, 86.8535,  0.0119, 13.5163, 66.2136
2812916, 27.1715,-35.8498,  0.0549,  0.1609,  1.2901,3855235070.0000, 89.1264,  0.0155, 43.9219, 16.0181
2813386, 27.3483,-35.9089,  0.0306,  0.0000,  1.2901,2521752060.0000, 89.2109,  0.0170, 43.7206, 16.0413
2815618,-20.2639, 16.0210,  0.1535,  0.9241,  1.3232,1170510980.0000, 44.2014,  0.0147, 99.6642, 38.4979
2818733, 65.7524, 30.4515,  0.5118,  4.8277,  8.3244,6780475900.0000, 88.8573,  0.0165, 50.3116, 95.1598
2819149, 65.8093, 30.7597,  0.5248,  4.8277,  8.3244,1197380480.0000, 88.6622,  0.0132, 50.2311, 95.4206
2820364, 39.5935, 44.1433,  0.0988,  7.4833, 13.4879,2408258300.0000, 66.3456,  0.0149, 69.6279, 93.1462
2823428,-11.5917, 11.6843,  0.2839,  2.4200,  5.2867,11212997600.0000, 43.9161,  0.0203, 81.5138, 36.5512
2824843, 19.7870, 27.3499,  0.1459,  0.8477,  5.2596,4022914050.0000, 34.5934,  0.0159, 34.4127, 58.5218
2825136, 19.5929, 27.3764,  0.0794,  0.9401,  5.2596,2864845570.0000, 34.5462,  0.0145, 34.6656, 58.4737
