id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
215850, -3.3182,-26.3802,  0.1472,  0.4101,  7.7476,1999499010.0000, 31.4850,  0.0128, 10.8654, 11.1023
224092, 64.2001,-32.0991,  0.6573,  1.0983,  1.2905,2245832700.0000, 13.2609,  0.0171, 76.0017, 26.4636
248932, 44.9750, 51.8999,  0.4768,  7.3519,  3.8780,1755226880.0000, 99.5526,  0.0149, 72.8045, 49.1026
628809, -0.5169, 19.0799,  0.9715,  0.0000,  5.3374,1092157310.0000, 75.7547,  0.0135, 22.0572, 30.9086
630781, 31.9004, 40.2770,  0.0843,  0.3454,  2.4601,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
645637, 69.8583, 14.2810,  0.0141,  1.0462,  3.1550,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
973239, 64.6786, 13.5848,  0.0320,  3.8307,  3.3735,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
1337769, 53.9453, 28.5768,  0.4767,  0.2368,  1.9605,3066397700.0000, 74.8855,  0.0168, 77.2785, 39.7986
1338445, 53.3317, 27.8875,  0.9023,  0.0000,  1.9605,1330057980.0000, 74.3199,  0.0139, 76.5495, 39.2376
1338946, 53.7798, 28.6534,  0.3132,  0.1569,  1.9605,1211834500.0000, 74.9939,  0.0145, 77.1287, 40.0675
1352805, 61.6849,-12.5229,  0.5721,  0.0871,  1.2489,1029116670.0000, 33.1269,  0.0107, 77.0826, 48.2786
1363183, 46.8430,-42.2406,  0.2614,  6.1460,  5.3276,4933458400.0000,  6.7494,  0.0180, 56.8977, 49.7753
1363576, 48.5656,-42.0843,  0.7105,  3.3730,  5.3276,2723692540.0000,  6.5764,  0.0175, 58.6205, 49.5307
1367583, 17.7628, 44.6894,  0.6500,  1.6821,  1.5394,1607715580.0000, 97.2258,  0.0149, 45.0294,  0.0001
1398177, -6.7306,-11.1568,  0.2304,  0.0480,  3.9575,6354540000.0000, 47.2892,  0.0203, 10.2088, 38.6941
1414578, 49.0405,-11.3016,  0.9487,  2.7799,  2.2608,2084719490.0000, 36.3945,  0.0133, 65.1547,  6.9100
1415409, 49.7157,-11.1367,  1.0332,  2.7799,  2.2608,2359349760.0000, 36.4313,  0.0142, 65.8471,  7.2004
1706514, 73.1311, 38.2074,  0.1033,  1.0105,  2.7844,3379855360.0000, 80.5280,  0.0162, 98.1009, 13.5235
1709590, -3.9820,  1.7976,  0.9944,  0.0000,  2.6718,2769433090.0000, 59.3787,  0.0150, 15.4440, 23.5671
1724673, 60.7335, 37.3667,  0.6353,  2.6691,  4.6614,5435144200.0000, 82.2526,  0.0185, 85.5899, 41.6212
