# id    npts   len        ngal1   ngal2   lum1       lum2       xmin        ymin       zmin        xlen      ylen      zlen     
  57    34     16.67092   13      18      9.4464     13.66883   110.3675    149.4484   99.7369     8.2986    12.6139   3.886    
  58    64     32.55058   26      32      13.42156   16.28529   74.7685     93.8316    13.3762     22.1279   8.267     9.1219   
  59    48     23.64664   19      31      3.55318    8.08629    -46.8572    41.2536    -28.4394    7.7608    18.8873   8.4911   
  60    23     11.35345   3       3       1.74774    1.74774    -82.2871    109.2144   -4.4772     2.9829    0.8165    10.6501  
  61    81     40.39634   27      33      24.22078   30.70323   -132.0472   134.511    -53.3109    27.2272   25.2573   8.5461   
  62    58     28.59427   21      26      17.48832   18.89106   -63.7776    143.322    -60.4946    15.2573   12.7563   19.6621  
  63    50     24.77598   13      20      15.85921   24.46643   5.6055      283.4797   61.4215     9.9502    8.2376    19.6419  
  64    33     16.23867   11      17      17.56609   28.35928   152.8502    161.0781   -110.8099   1.3335    15.1615   3.7212   
  65    38     18.70617   11      13      5.99617    7.19319    -99.1741    177.0505   71.1202     6.281     7.9324    15.3105  
  66    34     16.65934   13      18      9.82425    15.84882   149.9575    161.3371   -56.809     9.2458    7.7256    10.8933  
  67    53     26.18895   32      46      37.11261   48.20657   -68.3836    187.3284   74.3873     13.1519   5.3849    20.5731  
  68    54     26.6654    17      23      18.31643   27.29716   56.1531     170.1682   -74.3721    9.4809    20.0869   11.6097  
  69    48     23.72825   13      20      9.00189    14.1989    -83.4676    156.8785   -94.8203    2.7412    10.7681   19.6896  
  70    31     15.04286   13      13      15.65142   15.65142   8.4139      219.955    80.6795     6.5846    9.9206    8.4155   
  71    54     26.58946   16      19      13.91004   17.32969   34.5927     217.1416   14.5996     11.7286   7.2331    20.9114  
  72    34     16.86919   10      15      1.63415    3.77057    28.4209     78.4738    -46.3109    8.9521    12.5882   4.5625   
  73    30     14.59769   10      15      6.90635    12.28552   -112.9049   147.808    -46.7832    12.1776   7.8619    1.078    
  74    15     7.29752    5       10      0.20641    1.67455    -24.9002    33.398     -1.7335     4.3048    5.1617    2.1546   
  75    70     34.72557   21      24      24.73718   28.41833   -31.0106    257.453    -30.8481    13.9274   15.9692   20.9819  
  76    36     17.75249   11      14      7.89636    12.62005   8.2509      142.3542   45.9174     12.38     8.1498    8.4312   
  77    53     26.10836   20      21      34.78248   35.66377   121.7604    328.0115   25.9468     11.2851   4.3719    21.096   
  78    38     18.58582   11      15      12.79679   16.83563   -35.0355    246.9459   168.9867    13.8719   9.6537    6.2159   
  79    65     32.47986   24      32      13.41327   20.32631   -40.3198    91.5129    -40.2128    18.7343   23.8462   5.3189   
  80    58     28.85007   19      31      19.10712   29.51443   -138.7302   191.5269   -24.6629    24.8206   2.9519    12.1955  
  81    49     24.17786   21      29      15.55037   25.38321   -36.6593    154.2403   0.4939      13.5959   6.6817    16.6985  
  82    20     9.58826    3       6       4.66842    6.68569    114.6229    123.234    -67.7215    0.4822    7.8888    5.1932   
  83    44     21.66353   14      15      21.91814   23.99076   -213.0289   170.3647   93.2157     8.5152    18.967    4.3024   
  84    55     27.1407    21      27      28.0748    45.75786   236.3226    165.4525   -109.691    17.1224   14.5486   10.7476  
  85    77     38.41867   38      44      25.99406   28.36893   48.8658     161.8715   0.0153      19.5322   7.6421    27.0713  
  86    63     31.52984   20      22      23.01279   24.92428   -37.9114    267.6382   -182.6138   23.1358   8.2033    17.7572  
  87    62     30.7606    20      22      32.49654   35.33844   -9.1192     337.2044   -56.9452    14.9889   18.8311   17.1168  
  88    81     40.59523   30      38      40.9083    50.30417   199.9557    129.7091   -25.3742    17.8507   26.5057   19.1525  
  89    20     9.75552    4       4       3.10348    3.10348    38.186      99.0905    -66.6943    4.8444    5.8861    5.3437   
  90    26     12.8937    6       9       2.96657    5.43795    70.8791     103.7285   62.4846     2.5413    10.2748   6.812    
  91    26     12.60348   8       10      5.82903    6.15952    -125.5947   77.415     -18.6937    5.7694    9.0487    6.0596   
  92    78     38.79055   50      56      40.98643   46.22814   151.8133    110.4704   -34.2257    12.2114   21.0736   22.5201  
  93    75     37.08165   25      31      13.15999   18.26609   -142.416    104.3953   25.8364     17.1057   18.4773   18.1898  
  94    17     8.19435    4       7       4.44073    7.69598    135.3941    74.7058    -30.5815    2.9589    5.0979    5.444    
  95    45     22.6943    16      18      13.15713   14.03761   14.2639     219.8311   -67.0942    15.9578   9.893     9.1359   
  96    66     32.92177   34      41      37.28512   42.58835   58.0611     183.5013   78.9467     27.3109   13.4606   3.5418   
  97    112    55.81128   35      42      32.07756   40.2067    -80.725     168.7042   -95.177     6.5352    2.3157    52.6006  
  98    54     26.64372   28      29      27.90312   28.61525   -143.5631   163.206    -106.4412   16.9547   4.2181    18.6876  
  99    47     23.25403   20      20      15.69051   15.69051   -132.5413   177.4578   37.0742     17.0935   9.5371    8.4513   
  100   67     33.42354   28      31      27.94163   30.96023   -219.4169   171.099    42.9283     24.7661   9.666     16.3163  
  101   36     17.57233   14      21      8.62182    14.52833   -92.2342    87.0965    2.9852      6.2507    15.291    2.0404   
  102   17     8.12359    8       8       6.43729    6.43729    -197.4085   145.4853   -2.7766     5.9415    5.3129    0.8142   
  103   33     16.20647   16      22      6.45081    8.94291    -38.67      95.6898    18.1591     9.2435    3.7224    11.4249  
  104   26     12.57102   8       11      4.14684    5.20726    -102.6535   104.3609   24.6589     2.5604    11.8785   2.5177   
  105   14     6.5026     3       6       0.3904     1.22508    36.258      57.8563    -0.453      3.6795    1.9425    4.9763   
  106   83     41.23738   32      41      24.04582   28.18195   101.7283    122.6203   -48.2119    27.0995   24.5      8.0947   
  107   53     26.1894    23      26      8.84687    11.21151   -37.6572    136.6805   21.0223     21.1337   4.1171    11.247   
  108   54     26.78387   18      19      22.49695   26.81015   -63.8757    162.9317   -117.9343   9.1618    22.2123   1.9148   
  109   23     11.10561   8       8       17.35182   17.35182   -108.5067   305.7287   64.4411     0.6571    3.9537    10.1679  
  110   40     19.73322   14      21      12.00206   21.052     -9.584      181.2015   -89.36      8.5836    6.8395    15.2202  
  111   62     30.98395   20      23      28.52409   31.96294   51.0601     264.7418   108.9087    17.0591   21.5628   5.394    
  112   16     7.65526    4       8       2.86951    7.01165    -51.7619    143.9292   -25.1953    4.7949    2.8787    5.1456   
  113   32     15.52702   11      19      5.5264     11.2826    8.2102      126.5784   78.1631     4.2603    2.6389    14.4658  
  114   61     30.23784   22      25      23.64847   25.90487   142.8578    122.3689   -19.0355    19.0429   10.0478   14.6272  
  115   69     34.28377   33      47      36.19536   50.28183   45.0505     188.7018   97.9271     27.9363   7.1473    16.4857  
  116   52     25.72381   24      25      17.44891   17.69357   -42.0333    94.2375    62.844      10.2552   15.5146   14.2642  
  117   23     11.03545   7       16      8.96665    21.97765   209.1005    196.3422   -45.9058    8.1287    0.7406    7.2386   
  118   29     14.07931   6       11      1.79076    2.68154    -64.9909    85.4783    -4.9645     8.3228    8.847     6.5159   
  119   62     30.72659   18      19      27.44438   29.44498   -160.9851   223.3678   -134.9835   10.6466   27.7489   2.7244   
  120   60     29.72423   15      21      15.87007   20.76884   63.1359     150.8157   -82.6489    6.7841    27.0693   1.9663   
  121   65     32.14922   19      25      18.77628   21.62187   43.7623     171.6813   -60.25      22.4645   17.755    2.919    
  122   25     12.15795   17      19      5.82374    6.36149    -40.722     43.8112    -6.097      9.1027    5.746     4.348    
  123   41     20.29162   13      16      6.7368     9.16076    69.5803     115.6678   -63.1022    9.1852    5.2498    15.9316  
  124   12     5.64007    3       3       1.64574    1.64574    -114.48     75.4136    17.8422     2.2973    4.8987    1.0179   
  125   55     27.17777   15      28      9.1552     23.60353   -117.3793   172.3489   -41.4582    22.7702   7.5876    6.6814   
  126   18     9.1137     9       11      0.57318    0.81338    -1.7886     34.3837    0.5098      4.8787    6.5958    3.3837   
  127   67     33.26778   19      23      27.22334   32.81592   87.0904     283.7878   48.5717     26.7133   14.0316   8.505    
  128   33     16.09309   9       13      5.10062    9.43703    122.5144    79.3351    -38.8514    2.7482    12.7215   9.0715   
  129   32     15.64803   7       13      6.55266    11.30383   117.8128    187.9918   -61.2529    5.3374    1.2457    12.9521  
  130   53     26.2972    25      27      26.38738   27.55581   68.6536     201.0315   2.3681      22.1762   5.8035    9.0233   
  131   74     36.85319   60      81      33.96113   43.45832   29.0381     99.8304    4.4257      8.479     12.6244   31.1059  
  132   40     19.64717   15      18      16.69453   19.33992   -96.2373    174.6004   77.4075     18.0639   6.2429    1.4158   
  133   15     7.07614    8       10      5.99289    8.86831    -165.3604   171.9935   -60.9653    3.3729    5.9982    0.8769   
  134   13     6.04397    3       4       0.09155    0.21218    -30.6788    39.4084    -1.7804     4.7135    3.6902    0.3975   
  135   22     10.63612   7       13      7.72278    13.91565   140.9889    129.6444   35.0926     1.3361    10.2845   1.8684   
  136   34     16.68086   6       13      3.97335    9.7589     -198.3778   120.0087   74.1517     2.7623    15.4365   2.7317   
  137   34     16.67224   9       13      7.57171    9.3498     54.1751     166.4576   59.6633     6.8017    2.5217    13.9477  
  138   56     27.9103    22      25      24.48647   26.00524   -16.1656    217.1873   -117.5195   13.7178   19.5652   6.0806   
  139   28     13.91242   6       6       2.03139    2.03139    -99.924     136.2904   25.1105     10.1848   7.4537    5.0283   
  140   28     13.54454   8       12      6.53406    9.19036    -46.8346    166.868    17.4092     3.7262    9.6771    8.1457   
  141   18     8.61062    3       5       1.90839    2.95737    40.6768     106.6371   -4.2288     6.4357    5.2983    0.9291   
  142   49     24.19227   11      15      15.60512   18.83221   89.2133     223.6104   -89.825     3.8571    11.2896   17.4955  
  143   33     16.20521   11      16      6.32559    11.3077    -75.1088    173.1083   -40.4559    4.5145    6.6752    13.2105  
  144   66     32.75005   23      27      12.48566   15.35817   -80.0449    123.1158   13.8725     13.647    4.7607    23.2249  
  145   46     22.76118   16      22      16.21731   20.19383   118.679     99.7359    -54.9282    3.5057    12.0188   17.3715  
  146   49     24.29993   21      27      11.23179   12.57515   -81.2767    62.292     -2.2759     3.421     22.6521   4.7183   
  147   40     19.65143   16      16      20.9073    20.9073    178.4742    233.3014   31.6176     17.5003   5.8582    4.6313   
  148   50     24.59815   21      24      25.58703   27.61994   70.2815     172.881    -53.922     13.7744   11.3783   15.4533  
  149   41     20.09356   10      19      12.86124   19.13912   20.8481     189.8913   33.4501     19.4102   3.0356    2.2398   
  150   49     24.12191   14      22      8.49971    12.49269   34.3479     105.9668   63.3438     12.6226   5.2956    18.2817  
  151   22     10.60186   9       9       4.21412    4.21412    16.8408     117.6325   -0.35       5.0315    3.4496    8.3296   
  152   32     15.61594   8       9       6.64154    6.89384    121.6855    111.1517   -55.3903    9.9035    10.6338   4.0616   
  153   44     21.64251   15      18      17.2843    19.73843   99.1157     205.4519   55.1221     9.7391    17.6654   5.8015   
  154   114    57.16827   42      54      31.24646   39.72486   -107.0993   126.8257   -43.9374    19.6266   31.8966   34.3693  
  155   52     25.65266   21      28      24.65049   34.0518    59.456      292.8113   59.4267     2.3616    14.2451   20.6119  
  156   51     25.20024   26      27      22.98732   23.8126    -111.9741   189.2881   -8.126      16.5983   8.8516    15.6157  
  157   37     18.13695   16      19      8.6583     9.31129    49.439      50.9539    4.3879      8.1124    5.5568    13.5811  
  158   22     10.66274   8       10      4.78192    5.59239    77.9216     109.6782   22.0007     9.9001    2.9065    1.8136   
  159   34     16.52177   8       9       2.54681    2.77774    49.3685     36.0255    28.2419     3.3892    15.2909   3.7185   
