id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag
10275131,2.12973286E9,47.21904,0.12399724,3.68504192E9,8.704956E10,2.1736343E9,0.014851501,0.0379997,0.0013053078,0.015633171,0.667531,12.565307,39.24742,60.345634,0,438.40214130407713,3.55856286E11,27000000003312,5.6335816E-6,1.717298E-5,3.207803E-5,4.291992E-5,5.3320844E-5
11429966,2.3309545E9,54.713123,0.5577249,3.83728256E9,8.9400205E10,2.41810765E9,0.014060704,0.0151945,0.0017358364,0.0067066625,0.7193328,48.01942,7.5390515,91.715034,0,245.6808699181725,3.56080288E11,27000000003482,2.218923E-5,4.4751643E-5,6.2761595E-5,8.105225E-5,8.702114E-5
13739420,2.86540165E10,97.88611,1.5875273,3.15261952E9,1.95119694E11,2.97360118E10,0.024202041,0.050748125,0.03687078,0.020880207,0.63725764,49.229675,15.493862,10.426822,1,91.41638298535443,3.56254319E11,27000000000137,2.7979277E-5,1.078284E-4,2.3157716E-4,3.2781868E-4,4.3620358E-4
11657469,2.91164339E9,57.11796,0.5329805,7.4254095E9,9.9201843E10,3.09368064E9,0.013300142,0.018042838,0.0022157421,0.0082991095,0.7137448,71.79175,68.633995,13.303399,0,95.09612735280022,3.56255924E11,27000000003595,2.8563003E-5,6.334852E-5,8.9891E-5,1.1226212E-4,1.21554905E-4
11391738,3.62372736E9,54.8963,0.2558104,4.7940219E9,9.9851731E10,3.7023936E9,0.015919399,0.032782394,0.00122812,0.013648766,0.67988044,62.9656,94.084724,4.332369,0,128.45823281567047,3.56440048E11,27000000003681,1.2518643E-5,3.3685978E-5,5.8544654E-5,7.804561E-5,9.332161E-5
11422253,4.8970829E9,53.333694,0.3366375,5.2537631E9,1.03863157E11,5.0498796E9,0.015127667,0.027722279,0.003405567,0.011689233,0.69178885,93.53672,55.603714,64.72663,0,238.07177882941102,3.5648186E11,27000000003632,1.7806302E-5,4.9092178E-5,8.368418E-5,1.0856686E-4,1.305034E-4
11584770,1.91509158E9,47.729317,0.54781574,1.69080166E9,7.9304819E10,2.01750451E9,0.01371325,0.025308656,0.001775672,0.01093102,0.6961359,68.57944,29.916368,26.263113,0,377.4959436868163,3.56730307E11,27000000003608,7.810932E-6,2.2770953E-5,3.9646457E-5,5.2612373E-5,6.260612E-5
8879553,6.4758052E9,60.42497,0.42918268,2.49063936E9,1.15573178E11,6.5757174E9,0.019205756,0.03690322,0.0038340674,0.015301084,0.6692847,11.47981,38.745728,63.244743,0,337.49663192763865,3.56875796E11,27000000003734,1.9375404E-5,5.7159865E-5,1.0299942E-4,1.3770559E-4,1.6837481E-4
13730374,1.52389243E10,72.25377,0.79909563,1.47831603E9,1.50382854E11,1.54705807E10,0.022551272,0.056141175,0.05153114,0.022004265,0.62422913,4.3560553,25.406393,70.42262,1,607.7946559077334,3.5688353E11,27000000000128,1.5695101E-5,6.1043764E-5,1.3313413E-4,1.8918504E-4,2.5082027E-4
11652586,4.4950707E9,52.623196,0.2637481,1.07333082E9,8.4718764E10,4.6315141E9,0.015874524,0.035642385,0.006138408,0.014559523,0.67209756,99.49477,62.049026,54.55329,0,279.8743300572598,3.57097374E11,27000000003536,1.1991392E-5,3.6474936E-5,6.909302E-5,9.433398E-5,1.1675321E-4
10975194,3.10957466E9,52.77762,0.26339343,2.12619456E9,9.6165609E10,3.22066176E9,0.015223189,0.03147289,0.00146531,0.0130933905,0.68245924,51.680653,16.796507,5.551105,0,393.1329887900531,3.57153047E11,27000000002906,7.3453107E-6,2.1515358E-5,3.9852104E-5,5.494291E-5,6.767717E-5
