id,xslice,yslice,SM,x,Metal,y,z
10232229, -2.4497, -6.2490,15160075300.0000, 87.2897,  0.0197, 54.6877, 25.8725
10242262, -6.8238, 20.8846,9150526500.0000, 72.0487,  0.0163, 83.3935, 10.9589
10271448, -1.1381,-39.3238,6824968700.0000, 57.8835,  0.0150, 26.0570, 24.0500
10333382, -4.3702, 21.8100,7144392200.0000, 70.8432,  0.0144, 84.8483, 12.9162
10337918,  2.3091, -3.7107,5890925600.0000, 79.5986,  0.0177, 59.0272, 27.7546
10366588,-21.1401, 20.0696,10643454000.0000, 86.8415,  0.0138, 78.3671,  1.1947
10370796, 47.3478,-53.7212,5414891000.0000, 84.9675,  0.0163, 14.7560, 85.9897
10383398, -1.7738,-40.7960,10900738000.0000, 80.2502,  0.0174, 21.2569, 31.0678
10386610, 52.8163,-10.9347,8684766200.0000, 39.1395,  0.0178, 64.9639, 68.0684
10402550, 54.7134,-12.6771,4834145800.0000, 40.9095,  0.0156, 63.2399, 70.9592
10406313, 23.5804, 33.1302,19186108400.0000, 79.7942,  0.0194, 98.9173, 42.5495
10409008, -5.9139, -6.2873,7419276300.0000, 59.4522,  0.0164, 58.1757, 13.1055
10415466, 66.7999, 17.0666,2189875970.0000, 78.5631,  0.0128, 89.2847, 90.0216
10427363, -8.3755, 18.4551,8604060700.0000, 77.3565,  0.0165, 79.9716, 11.5859
10435971, 64.0878,-63.8780,12434384900.0000, 61.3657,  0.0206, 10.4357, 97.5186
10439615, 48.3141,-46.9304,4086776580.0000, 73.0804,  0.0154, 23.4064, 81.7238
10452290, 55.4685, -5.6089,13186942000.0000, 47.0918,  0.0200, 69.5229, 72.3860
10453374, 15.8576,-49.8218,2349189120.0000, 93.4070,  0.0146, 12.8785, 55.4320
10454440, 85.4034, -8.4191,1887589250.0000, 27.9736,  0.0125, 73.8095, 97.5941
10470998, 31.7441, 31.2777,1767315070.0000, 82.1727,  0.0115, 97.9018, 52.1452
10478219, 45.4886,-44.5277,10050865200.0000, 75.8252,  0.0179, 25.0032, 79.2330
10480765, 60.6788,-51.9569,13998402600.0000, 66.2079,  0.0210, 21.1631, 93.2375
10530125, -4.5531, 20.9552,7442704400.0000, 71.7227,  0.0173, 83.8398, 13.1862
10758020, -8.8137, -7.1730,6302274600.0000, 61.8803,  0.0148, 56.5191, 11.0824
10777541, -8.5725, 20.4938,7558043100.0000, 76.9193,  0.0170, 82.0451, 10.8352
10788045, 34.0596,-68.7332,5891037200.0000, 67.4223,  0.0137,  0.3599, 69.4149
10799409, 64.0981, 15.9656,6189865500.0000, 73.4054,  0.0187, 88.5390, 85.7413
10832559, 33.8063,-71.4784,6740810200.0000, 42.4347,  0.0157,  1.1932, 61.4447
10833500,-17.1899, 27.1841,5768615400.0000, 81.3777,  0.0194, 86.8436,  2.0724
10842573, -1.0504, -9.6656,13156423700.0000, 84.0469,  0.0172, 51.9428, 26.9238
10849165, 13.8482,-45.4223,2518764800.0000, 83.8620,  0.0131, 18.3682, 49.3335
10852126, 85.9144,  2.2946,3223870210.0000, 37.0597,  0.0143, 83.2827, 99.0074
10869121, 82.1479,  0.1993,9656970200.0000, 34.3851,  0.0166, 81.0294, 94.6418
10884713, 15.1312,-49.9665,6858764300.0000, 94.6872,  0.0173, 12.4435, 55.1319
10903713,  2.1659, 25.4803,4323625500.0000, 66.5417,  0.0170, 90.0866, 17.5325
10909102,  9.0064, -6.2478,6703944700.0000, 71.3009,  0.0176, 58.6596, 32.4437
10911682, 40.8121,-53.4875,5390564900.0000, 37.6108,  0.0182, 20.8955, 63.5473
10912340, 81.4721, -3.2346,6300015100.0000, 48.7317,  0.0156, 75.4220, 99.3575
10935212, 11.3191,-45.6128,3280440060.0000, 71.4156,  0.0147, 19.6125, 42.6455
10936015,-28.4184,-20.2139,6979554800.0000, 91.9545,  0.0194, 36.2908,  3.3070
10940644, 60.2310, 25.9378,5893967400.0000, 74.8961,  0.0145, 97.7360, 80.2645
10955865,  1.6043, 18.1795,9866966000.0000, 81.6639,  0.0177, 80.5166, 23.3858
10961478,  3.8060, -0.4028,13616542700.0000, 90.0871,  0.0189, 61.0342, 32.1129
10965036, 70.7408, 22.6040,6949001700.0000, 48.8723,  0.0175, 99.6878, 83.2020
10985642,  7.4715,-50.0420,11792147500.0000, 50.5803,  0.0196, 17.6411, 32.6608
10986950, 66.4654, 14.6542,9763400700.0000, 43.4143,  0.0228, 91.9091, 78.5469
10990106,-15.9448, 30.6815,7103053800.0000, 82.6645,  0.0188, 90.3350,  3.0947
11007531, -0.1748, -5.2319,4431585300.0000, 87.5816,  0.0148, 55.9917, 28.1212
11007880, -0.0439, -5.4855,3615066370.0000, 87.4475,  0.0144, 55.7764, 28.2624
11031523,-34.2930,-45.6698,7657123800.0000, 93.3752,  0.0201,  9.7795,  2.7248
11038039, 64.6729, 18.8860,2800323580.0000, 74.9937,  0.0146, 91.3127, 86.2837
11056964,-12.8698,-23.3077,6179582500.0000, 76.2880,  0.0159, 37.7132, 14.8290
11076797, 49.6347, -3.2744,8561209900.0000, 76.4186,  0.0184, 66.7705, 75.5733
11077743,  2.9687, -8.6863,2886995200.0000, 68.8444,  0.0103, 55.7030, 25.8685
11082763,  4.0979, -0.9919,12508834800.0000, 89.2735,  0.0206, 60.6051, 32.2626
11105453, 50.7882,-49.8425,6060226000.0000, 35.9904,  0.0186, 26.2183, 72.6121
11108607, -3.1278, -4.0927,4326727700.0000, 62.8525,  0.0176, 60.2814, 16.6769
11114249,  3.1236, -7.1530,4829490200.0000, 85.0623,  0.0165, 54.9123, 31.0807
