id,xslice,yslice,SM,x,Metal,y,z
2,-31.6643, 17.1995,73399960000.0000, 11.0045,  0.0223, 81.2357, 54.7311
13632,-24.6628, 16.2340,72288838000.0000, 17.9992,  0.0234, 79.9481, 53.4060
21794,-31.4704, 16.8460,42610799000.0000, 11.1985,  0.0234, 80.8858, 54.7863
23302,-31.4892, 16.5676,45890937000.0000, 11.1793,  0.0334, 80.5905, 54.7433
24478,-24.7564, 16.1282,25318631400.0000, 17.9053,  0.0157, 79.8287, 53.3584
26264,-24.4560, 16.0893,36624663000.0000, 18.2082,  0.0327, 79.9072, 53.8781
27474,-31.4037, 16.8445,27707922400.0000, 11.2666,  0.0175, 80.9562, 55.1027
28851,-24.8286, 16.2817,30818492400.0000, 17.8327,  0.0301, 79.9597, 53.2424
29818,-30.5600, 16.5971,24412020700.0000, 12.1092,  0.0247, 80.6521, 54.8788
30903,-23.9754, 16.1910,20266199000.0000, 18.6819,  0.0126, 79.6798, 52.4178
32367,-23.8636, 16.5877,19582564400.0000, 18.7949,  0.0225, 80.1328, 52.6206
33116,-24.5958, 16.4701,13551981600.0000, 18.0641,  0.0213, 80.0804, 52.9228
33641,-30.3155, 16.0325,13899153400.0000, 12.3551,  0.0220, 80.1535, 55.2319
34157,-24.6757, 16.0753,31275702300.0000, 17.9873,  0.0244, 79.8345, 53.6222
35658,-25.4326, 16.0740,23483746300.0000, 17.2249,  0.0224, 79.5709, 52.4698
36469,-26.5904, 14.9477,11182698500.0000, 16.0697,  0.0212, 78.5676, 53.1401
37177,-24.3305, 16.8010,22967476200.0000, 18.3309,  0.0232, 80.4873, 53.2191
37879,-32.0778, 16.9592,19705598000.0000, 10.5932,  0.0230, 81.1051, 55.2414
38548,-30.8658, 17.4038,8757638100.0000, 11.7960,  0.0206, 81.1100, 53.2544
38952,-24.4887, 16.1898,18503469100.0000, 18.1740,  0.0159, 79.9376, 53.5587
40905,-32.4865, 16.9081,12835824600.0000, 10.1884,  0.0187, 81.2395, 56.0643
41635,-32.4913, 15.5302,8436896800.0000, 10.1772,  0.0197, 79.5513, 54.8538
42234,-33.1857, 17.7133,20780314600.0000,  9.4876,  0.0250, 81.9689, 55.6423
