id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047,-61.6089, 54.8008,  0.3357,  1.1630,  3.4162,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479,-61.7431, 54.5058,  0.0134,  1.1967,  3.4162,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604,-63.4810, 53.1835,  1.3348,  0.8047,  5.6143,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449,-63.2809, 53.1985,  1.2901,  0.8047,  5.6143,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987,-65.9229, 54.6744,  0.7937,  1.8330,  2.3050,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590,-70.2185, 54.7280,  2.0303,  1.5817,  1.9926,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313,-65.8906, 54.1794,  0.6643,  1.3696,  2.3050,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843,-63.5772, 51.1486,  0.0153,  0.2174,  1.8277,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505,-66.2878, 53.7740,  0.1100,  1.2118,  2.3050,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830,-60.9357, 51.0041,  0.4255,  5.8678,  5.6143,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232,-60.9107, 54.2868,  0.2914,  2.1550,  3.4162,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601,-60.6574, 50.8698,  0.3535,  5.7191,  5.6143,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672,-63.4950, 52.7424,  0.9453,  0.8047,  5.6143,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676,-65.6779, 53.3254,  0.5469,  1.0789,  2.3050,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
215850,-34.0161,-15.1677,  0.2992,  2.0860,  3.5701,1999499010.0000, 31.4850,  0.0128, 10.8654, 11.1023
224092,-56.4502, 49.7897,  0.6129,  0.1622,  5.6143,2245832700.0000, 13.2609,  0.0171, 76.0017, 26.4636
630781, 21.3685, 31.8331,  0.6442,  0.4599,  2.1457,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
645637,-19.7374, 63.6481,  0.1843,  1.3270,  3.4161,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
973239,-13.6170, 58.7967,  0.8892,  1.9921,  7.0608,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
1001280,-74.8703, 30.8290,  0.0146,  1.0705,  6.6542,1332567940.0000,  3.5934,  0.0135, 57.4127, 54.7118
1042132,-71.1672, 23.2787,  0.3543,  0.5677,  2.7941,1541536510.0000,  6.3511,  0.0127, 49.8223, 51.4380
1042563,-71.0956, 23.2260,  0.2676,  0.5677,  2.7941,1381412480.0000,  6.2650,  0.0167, 49.7629, 50.9762
1337769, -2.7052, 50.7319,  0.0000,  0.0001,  2.6647,3066397700.0000, 74.8855,  0.0168, 77.2785, 39.7986
1338445, -3.0517, 50.0122,  0.6466,  0.1059,  2.6647,1330057980.0000, 74.3199,  0.0139, 76.5495, 39.2376
1338946, -2.6914, 50.5780,  0.0251,  0.0828,  2.6647,1211834500.0000, 74.9939,  0.0145, 77.1287, 40.0675
1352805,-44.9181, 50.5167,  0.4596,  0.0000,  1.2036,1029116670.0000, 33.1269,  0.0107, 77.0826, 48.2786
1363183,-70.2583, 30.3758,  0.4138,  3.0246,  5.6209,4933458400.0000,  6.7494,  0.0180, 56.8977, 49.7753
1363576,-70.3448, 32.1023,  0.1080,  6.3191,  5.6209,2723692540.0000,  6.5764,  0.0175, 58.6205, 49.5307
1367583, 31.6158, 18.9917,  0.1572,  1.1506,  4.1849,1607715580.0000, 97.2258,  0.0149, 45.0294,  0.0001
1398177,-28.2234,-16.2496,  0.0485,  2.1626,  6.1247,6354540000.0000, 47.2892,  0.0203, 10.2088, 38.6941
1399316,-51.3564, 52.0687,  2.6928,  7.0363,  7.2349,2376117500.0000, 27.8675,  0.0133, 78.6847, 52.7268
1412359,-62.1003,  7.4097,  0.8497,  0.0000,  3.4627,1305171460.0000, 16.3585,  0.0148, 33.9932, 52.6941
1414578,-28.1262, 39.1633,  0.1342,  4.8694, 13.6508,2084719490.0000, 36.3945,  0.0133, 65.1547,  6.9100
1415409,-28.1891, 39.8514,  0.7562,  4.7047, 13.6508,2359349760.0000, 36.4313,  0.0142, 65.8471,  7.2004
1421963,-76.7210, 27.8996,  0.0155,  0.0358,  1.4061,3555026180.0000,  2.7291,  0.0148, 54.5253, 57.8625
1706514, 11.2587, 71.9077,  0.1364,  0.3304, 15.0982,3379855360.0000, 80.5280,  0.0162, 98.1009, 13.5235
1709590,-11.8244,-10.8313,  0.2562,  1.0846,  5.5164,2769433090.0000, 59.3787,  0.0150, 15.4440, 23.5671
1743068,-23.4224,-11.3135,  3.6430,  5.1914,  4.2010,1042692740.0000, 41.3178,  0.0140, 14.6873,  7.1006
1744495,-27.6184, 42.8513,  0.4973, 10.7593,  8.1269,5215091700.0000, 42.3479,  0.0172, 69.0741, 22.3367
1755167,-10.6368,  1.4554,  0.4936,  2.8723,  5.8512,1222929790.0000, 60.3818,  0.0138, 27.7229, 22.7498
1762444,-44.6064, 66.9701,  0.4490,  3.7892,  2.8853,2044032260.0000, 29.6752,  0.0153, 93.3762, 37.3673
1768534,-66.3266, -1.0185,  1.9750,  2.8079,  5.3493,9135002600.0000, 15.7222,  0.0201, 25.7175, 63.7187
1769021,-65.3878, -2.1242,  2.2982,  2.8079,  5.3493,1320068220.0000, 16.7189,  0.0149, 24.6143, 63.7323
1770033,-65.4480, -2.1892,  2.2295,  2.8079,  5.3493,2526841860.0000, 16.3952,  0.0127, 24.5381, 62.9909
1787640,-41.2723, 42.9138,  1.5863,  6.3951,  8.1704,2310529020.0000, 23.4326,  0.0169, 68.9131,  9.6450
1787952,-41.1900, 42.8865,  1.6452,  6.4587,  8.1704,3398097150.0000, 23.6767,  0.0192, 68.8927, 10.0932
2043242,-75.9263, -6.8781,  0.1284,  0.1671,  3.6591,1615963140.0000,  6.4567,  0.0148, 19.8721, 66.3480
2044166,-46.6100, 36.4835,  0.6485,  8.9103,  7.6750,10198426600.0000, 19.5121,  0.0190, 62.5430, 14.6439
2044831,-46.0090, 36.7785,  0.1076,  8.3739,  7.6750,1205886720.0000, 20.0108,  0.0119, 62.8337, 14.2476
2046514,-73.7410, 52.5802,  2.4317,  0.0000,  5.2148,2474652160.0000,  0.9872,  0.0178, 79.0052, 43.7024
2051379,-30.5337, 40.1357,  0.4283,  1.0436, 13.6508,4830509100.0000, 47.8781,  0.0148, 66.7172, 46.9531
2059558,-58.7871, 50.8784,  0.0686,  3.3613,  5.6143,4306477100.0000, 17.3116,  0.0143, 77.3617, 45.0814
2059994,-57.8202, 51.1972,  0.5279,  2.7297,  5.6143,1672097020.0000, 18.5788,  0.0159, 77.6933, 45.7718
2062484, -1.3642,  3.0777,  0.0195,  1.8303,  1.7038,14873682900.0000, 74.5978,  0.0252, 29.5551, 35.2672
2063840,-66.1056, 56.4616,  1.9533,  1.7958,  2.3050,2034452990.0000, 15.2464,  0.0150, 83.1681, 61.2772
2067943,-27.6664, 44.7972,  0.2298,  1.1099,  8.1269,6010123300.0000, 38.7223,  0.0174, 70.8680, 12.1216
2074603,  4.6358,-25.1212,  0.9719, 19.9842, 13.1049,1269623550.0000, 68.7031,  0.0145,  0.8511,  0.5067
2089822,-54.3331,  0.1846,  0.9494,  3.8990,  9.1497,7327868400.0000, 21.9825,  0.0169, 26.6771, 45.3090
2090628,  2.4367,-14.5706,  0.0391,  0.0599,  2.5034,3790094340.0000, 70.5344,  0.0153, 11.5728, 12.3061
2096293,-32.1529, 70.2255,  0.1925,  3.7256,  4.4480,1074255100.0000, 32.3742,  0.0102, 96.2173,  7.3889
