id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_Fe,SF_N,SF_C,SF_H,NSF_O,NSF_H,Stars_O,Stars_N,Stars_C,Stars_Fe,Stars_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag,Y,J,H,K,M_dot,ellip,Kappacorot,ENV,d_long,d_per,d_tot,xslice,yslice
8913386,26659414000.0,91.29367,2.639893,9026463700.0,228006527000.0,27711090700.0,0.0222,0.036095038,0.003359411,0.01513958,0.0023351538,0.0018393813,0.005769981,0.671154,0.0014894014,0.74466085,0.009870567,0.00094242935,0.0036443148,0.0011980496,0.70350534,84.8193,91.9157,35.2534,0,357.70422488419115,1254917140000.0,27000000001179,-20.037453,-20.92327,-21.325726,-21.54175,-21.78176,-21.975752,-22.050655,-22.23166,-21.973633,0.00026913016,0.681661291299495,0.35298834487389286,filament,0.5116,1.7368,2.8886,36.851,-16.2967
8915064,33163210800.0,106.063675,0.14010179,743488380.0,266549035000.0,35104883000.0,0.0226,0.058666334,0.0029289143,0.021373054,0.006729683,0.0034286669,0.009728574,0.619461,0.001287463,0.74557686,0.0100040035,0.001002852,0.0036713895,0.0012281021,0.70243067,12.8266,97.2694,74.4514,0,317.8631781128478,1359309180000.0,27000000001209,-18.803343,-20.314861,-21.022078,-21.326986,-21.622738,-21.853718,-21.954254,-22.160397,-21.89993,4.130485e-06,0.6675575337507279,0.5485188261414119,filament,0.9116,1.8359,1.9761,-34.3146,12.2866
8917280,8172759000.0,66.750305,1.1318792,4748231700.0,127564915000.0,8298680800.0,0.0183,0.027946617,0.002532724,0.012074738,0.0016587091,0.0012007491,0.004614882,0.69066805,0.0011339604,0.746539,0.008208819,0.00067511556,0.0031027428,0.000961786,0.7127929,60.9222,74.5803,34.1175,0,132.3894954882184,619894540000.0,27000000001739,-19.094425,-19.937798,-20.283916,-20.473413,-20.67863,-20.833134,-20.8866,-21.048779,-20.774254,5.940554e-05,0.30994603310288293,0.5942173076355212,filament,0.308,0.0222,6.698,14.0245,-3.5615
8918198,2631106560.0,53.13877,0.8189331,3919729410.0,78274789000.0,2676795900.0,0.0121,0.016574012,0.0018076351,0.007573829,0.00087406987,0.00051905354,0.0028244746,0.71711123,0.00084015174,0.74821395,0.0056363367,0.00036364715,0.0021201135,0.00061623077,0.726629,61.4726,74.2905,34.144,0,171.88816426858773,312094917000.0,27000000003591,-18.565487,-19.272375,-19.505451,-19.642178,-19.786148,-19.878965,-19.895674,-20.017143,-19.709826,1.5644873e-07,0.6390518011161036,0.5769537846404649,filament,0.402,0.6125,6.698,14.5919,-3.3736
8922758,30400409600.0,93.88276,2.6599376,11742992400.0,238836498000.0,32324964400.0,0.0215,0.032448024,0.0033129693,0.013766689,0.0020858056,0.0015262944,0.005206713,0.6802161,0.0014759189,0.7447854,0.009559649,0.00086789456,0.0035733636,0.0011609492,0.7052391,59.48,67.1695,35.3754,0,220.96598119111005,1218675870000.0,27000000001218,-20.041868,-20.951977,-21.37861,-21.602661,-21.844557,-22.034033,-22.107157,-22.28828,-22.022163,1.2504567e-05,0.7096187754855592,0.373556708686023,filament,3.6947,0.0814,10.2713,13.0654,2.5963
8927769,2963857150.0,55.587788,0.23329991,644823300.0,74876961000.0,2999059970.0,0.0178,0.044267155,0.004437881,0.018337088,0.0029703935,0.0022473445,0.0072760596,0.6524281,0.0018191559,0.74208784,0.007950199,0.00066789385,0.0031032348,0.0010141438,0.71332455,37.444,84.4776,74.3675,0,251.99596195921472,167336575000.0,27000000006989,-17.403765,-18.397041,-18.847134,-19.078959,-19.320475,-19.50189,-19.570843,-19.749027,-19.485638,7.7461575e-09,0.6172187514221626,0.5245441910534392,filament,0.0,1.7844,1.0108,-8.979,19.6676
8937440,25003069400.0,95.627846,2.3572092,8578969100.0,229421974000.0,29049663500.0,0.0196,0.03734815,0.003085127,0.015743053,0.002354575,0.0018407138,0.0060472777,0.66847485,0.0013565626,0.74528676,0.00874775,0.0007815951,0.0032882704,0.0010677418,0.7094822,7.4892,91.5461,51.4653,0,570.4307308955225,1337525270000.0,27000000001184,-19.927143,-20.839458,-21.25274,-21.471361,-21.70862,-21.894976,-21.96638,-22.145647,-21.885437,1.18978654e-07,0.7102597279808176,0.3971298914130508,filament,0.286,2.3763,1.085,-39.8784,0.2039
8939368,21344704500.0,86.71258,1.212385,7739698700.0,216470274000.0,22183487500.0,0.0232,0.034402292,0.0028987143,0.014232141,0.0025213205,0.0017721589,0.005432283,0.67566824,0.0012667389,0.7456428,0.010187001,0.0010429937,0.0038279688,0.0012826684,0.70092314,1.2107,60.7505,39.2242,0,456.11374677814746,1078371220000.0,27000000001429,-19.317142,-20.341742,-20.841152,-21.090487,-21.35277,-21.56254,-21.647709,-21.837755,-21.576042,0.009628258,0.5175368478494198,0.6757078434723547,filament,7.0074,2.543,9.6824,-44.5926,13.346
8941210,3580745220.0,57.314133,0.21552964,2860425470.0,86958531000.0,3610821890.0,0.0169,0.027136998,0.007547945,0.011714941,0.0017116882,0.0010959572,0.0045587784,0.6927076,0.0032763819,0.7356631,0.007563645,0.00060792174,0.0029665676,0.0009692423,0.7155821,1.8737,60.9884,39.5107,0,404.1782171889029,225844625000.0,27000000005423,-17.656069,-18.660112,-19.094147,-19.31295,-19.527351,-19.677395,-19.73129,-19.896982,-19.611952,3.8569967e-11,0.6999737548117929,0.39302602329907643,filament,6.1954,2.1273,9.6824,-43.9381,13.3444
8945137,25367341100.0,95.20193,2.2187622,3021231870.0,194028438000.0,27148845100.0,0.0205,0.049627606,0.00469147,0.020193798,0.003424222,0.0030434253,0.0076418077,0.63926744,0.0020493811,0.74171376,0.009133005,0.00084900745,0.0034327854,0.0011306228,0.7072095,46.572,86.9126,72.3241,0,188.93565993149625,1209692980000.0,27000000001189,-19.909462,-20.835121,-21.252731,-21.476982,-21.72746,-21.928478,-22.006353,-22.189829,-21.93813,0.041946568,0.417404548898729,0.7848897290546601,filament,2.7017,0.0209,2.7949,-0.0697,15.958
