 39.188 3.795
 38.5155 4.32105
 37.4682 4.36995
 36.5671 4.599
 36.1063 5.18755
 35.9238 5.1427
 35.916 5.1393
 35.5438 5.37895
 35.2304 5.6774
 35.339 5.81835
 35.4517 5.9784
 35.4567 6.19885
 35.396 6.3448
 35.3812 6.38215
 35.347 6.48395
 35.2844 6.5943
 35.2601 6.64135
 35.3017 6.70755
 35.3912 6.7263
 35.4949 6.866
 35.5941 7.07655
 35.6765 7.2187
 35.6911 7.34645
 35.6682 7.4044
 35.6686 7.5568
 35.8253 7.76765
 36.0181 7.85205
 36.1063 7.95795
 36.0905 8.1105
 36.0798 8.1783
 36.14 8.25595
 36.155 8.3376
 36.157 8.3512
