id,SM,SM2,Metal,u_minus_r,g_minus_r,x,y,z,Velx,Vely,Velz
13338658,1.48471859E9,1.50969523E9,0.01356277,1.2826023,0.3931408,63.48451,99.37457,55.276207,79.19636,-165.2482,-63.10342
13548416,5.989536E8,6.1455194E8,0.01319894,1.2218933,0.3817463,40.376144,20.486696,52.363567,130.71704,33.69464,-17.062992
12960269,5.81072E8,6.1007885E8,0.009825002,1.1221333,0.32362175,64.61234,28.61005,11.100941,-182.02931,95.31027,236.82167
12226253,7.2666022E8,7.4875021E8,0.01377907,1.681819,0.5009022,78.10442,1.4223304,36.927814,109.92664,-32.003647,381.24026
13454902,1.0934281E9,1.11150336E9,0.015097243,1.6680384,0.5479965,3.7077394,60.32284,90.19598,-335.83548,-12.789269,34.225098
13406387,2.33672448E9,2.35260774E9,0.01609395,1.40559,0.42477226,2.0502887,81.47765,70.15647,-42.434414,-71.583534,-479.34677
13034221,2.10570944E9,2.13850445E9,0.013497325,1.2776432,0.36563683,87.79548,43.942314,61.778595,68.55157,192.24101,-256.8393
13445731,1.59950899E9,1.6301504E9,0.0149719985,1.6309719,0.53979874,78.438545,71.833466,88.716064,-189.98003,-40.34831,-121.475075
13529800,9.3011168E8,9.6059533E8,0.013692583,1.5056667,0.51503944,30.638582,90.74424,66.85616,-3.8201787,-165.64764,-291.23657
13042685,8.1464576E8,8.4870016E8,0.014716499,1.2693806,0.3637333,50.860752,96.23556,2.765815,84.64694,200.32289,214.101
13423010,3.98840768E8,4.3472736E8,0.010942777,1.4393568,0.4783039,17.538622,60.77609,68.75744,-138.28645,162.38763,-279.12933
9417857,1.10699546E9,1.16506138E9,0.012347119,1.4366798,0.44996262,57.304207,47.88396,24.936693,167.97157,-200.16103,88.945015
8373177,1.23571635E9,1.2442144E9,0.016106505,1.7001429,0.549263,56.22076,43.670467,83.6926,199.83861,-129.44786,93.89151
7176245,2.52497971E9,2.57349043E9,0.013730561,1.4784164,0.43815613,71.71905,36.16888,33.7551,-286.84528,163.77423,-192.45274
7191254,7.5637146E9,7.6661985E9,0.017778115,1.5849075,0.50963783,58.813198,41.790276,37.77897,284.74863,-239.69415,-447.9673
12953601,6.4620781E8,6.5153261E8,0.0136517165,0.9930954,0.25707436,46.61047,46.14966,66.99444,98.3553,-5.5476017,52.380558
12923106,1.51045504E9,1.53983846E9,0.014808553,1.286829,0.412014,95.86334,44.652954,32.66178,-223.33424,142.25322,99.457245
13366739,1.34773658E9,1.38127962E9,0.014793259,1.6850548,0.5786133,62.45796,45.639263,97.91304,-147.05351,67.44134,-91.53643
13065057,1.27956864E9,1.32809062E9,0.014211774,1.3493061,0.44729042,71.96119,23.00745,83.289734,186.24393,22.103102,-58.832893
13418269,1.3220352E9,1.32865152E9,0.013547696,1.2147007,0.34423065,46.221146,27.401445,96.57033,55.636078,106.05116,223.56717
11499710,1.19401818E9,1.22668237E9,0.012074119,1.2870922,0.34523392,54.299393,94.50788,20.879763,590.9928,582.5677,-120.32364
12132760,9.647402E9,1.017216E10,0.01666702,1.2204609,0.35830498,80.063484,2.9605744,40.15924,25.808327,-103.92036,-353.24283
13488926,5.7799712E8,6.2219942E8,0.011787744,1.334116,0.3946724,44.65016,12.801266,10.576435,350.61856,97.12684,103.22471
13133681,7.9361875E8,8.2628659E8,0.012470063,1.7439861,0.51667786,67.59362,4.908391,5.896443,-268.53897,-253.12776,143.69397
13474846,7.5727923E8,7.7454387E8,0.013239066,1.3392162,0.41641998,38.53068,74.07181,85.68366,48.3171,82.3755,-63.54341
13353612,1.46935078E9,1.49559194E9,0.014501591,1.1615639,0.353487,5.041659,65.27007,88.887024,-35.963604,-301.62372,103.96893
3259975,3.11123872E8,3.28067904E8,0.009802078,1.3290834,0.37543678,74.49757,30.902952,94.439384,5.200411,62.264854,68.74752
9231381,2.22718003E9,2.25795942E9,0.013142481,0.9641628,0.25025368,3.129947,26.728737,48.50232,14.755024,201.28654,-3.6987367
13330259,1.0682007E9,1.08401997E9,0.01312809,1.9105835,0.5544319,9.404895,84.70261,7.422209,28.194258,-115.05155,159.80869
13412793,4.91628896E8,5.03109216E8,0.012128415,1.868598,0.54356766,79.26239,99.038124,20.53543,-132.35493,-120.96498,152.7574
46047,5.19714E9,5.2257244E9,0.019392028,2.3658142,0.7563019,17.5099,81.41239,54.15162,-521.4287,419.6367,-421.3589
13022734,4.533591E9,4.5479716E9,0.017879965,1.3717403,0.42523003,20.43358,79.67198,37.95784,-244.67741,-176.62419,538.2113
13043573,1.16678477E9,1.1980215E9,0.012446146,1.1962337,0.34775162,28.07631,25.48573,46.52669,5.8990874,-35.698112,115.376366
12682787,7.2574193E9,7.3049487E9,0.021239204,1.9650745,0.64795494,77.18069,30.414953,56.368233,-263.55777,-277.90448,-118.83727
13414727,1.15223885E9,1.1762816E9,0.014097155,1.5393867,0.4917202,39.809216,1.4999498,70.19442,42.345203,-151.49692,-109.02737
13072868,5.4694682E8,5.5863091E8,0.011692974,1.3709497,0.39349937,47.817493,98.09509,49.651917,47.940624,-238.5353,-154.97998
13117813,1.80602714E9,1.8249303E9,0.015218972,1.4654388,0.48591805,80.25072,50.837994,7.855167,303.04947,-98.5893,-80.65687
13113749,6.1054106E8,6.4599206E8,0.013082432,1.4155874,0.4402256,65.018456,75.046455,23.498758,211.61401,-11.932986,30.079681
13424682,6.1705184E8,6.3843347E8,0.01213791,1.3985262,0.39753723,72.12721,10.702574,13.806795,-293.96234,-25.443827,36.147614
13740880,7.0268416E9,7.1314596E9,0.018336657,1.7230206,0.55239105,49.71438,14.639271,11.291383,116.00219,41.295578,179.5651
2287113,2.71424051E9,2.75303552E9,0.017185936,1.7465229,0.57569313,56.758163,45.03217,42.914936,127.55018,-14.219784,-482.1037
13399684,1.4453065E9,1.4668681E9,0.013869432,1.1854725,0.3528347,49.291634,79.79053,62.566204,-112.10908,113.46858,-109.602585
13525571,1.19198221E9,1.22108262E9,0.017077813,1.3881149,0.44249344,68.38087,99.03274,99.58426,-5.512637,226.30759,136.31339
13433745,1.3536512E9,1.37282688E9,0.0152488295,1.727067,0.5845108,41.33396,17.362339,50.072594,72.145096,44.399975,-2.6398458
13055896,1.2869728E9,1.30985293E9,0.015522038,1.3385582,0.42359924,70.83494,68.20603,86.56774,354.05478,95.36257,162.25644
13468337,9.462249E8,9.609463E8,0.013481695,1.9257841,0.6344013,35.153957,20.654171,3.5906281,285.95435,-103.75913,-12.257155
2556471,2.4003863E9,2.41505946E9,0.016812092,1.4563904,0.443079,63.966225,46.020287,39.23341,22.980549,138.4331,-148.58932
13388783,6.9866477E8,7.3005408E8,0.011749358,1.4119387,0.43475342,76.8915,53.875435,51.295322,287.81064,63.91473,-0.85676175
11634787,2.1356E9,2.16844237E9,0.011421795,0.8700237,0.20203781,32.35691,40.14467,94.74993,260.47516,197.49348,-103.65344
11754617,5.5795206E8,5.7146528E8,0.011014996,1.7940254,0.5199375,86.826385,63.862568,16.862173,35.601498,-27.856709,-19.334148
13483323,1.35263654E9,1.39143322E9,0.013715529,1.6463852,0.5632591,36.438408,9.113236,23.648302,265.24573,-323.35953,-38.64608
13431618,8.7670214E8,8.986359E8,0.015057902,1.4796696,0.48708344,8.94245,73.73104,13.89822,-42.503906,-130.19096,225.9978
11430690,1.13016013E9,1.14278016E9,0.013533895,1.5823393,0.53896904,96.06724,94.76137,75.36044,-127.40048,-70.00644,-310.3119
13448493,2.14163942E9,2.15940198E9,0.016944425,1.3555984,0.4102478,89.78769,70.884605,86.75681,-207.72798,-146.27089,-127.078026
13460371,9.2683405E8,9.4688301E8,0.013825756,1.548315,0.4682846,87.814064,43.944668,29.124966,-187.03102,242.82814,-94.05622
13475088,9.5261856E8,9.6739757E8,0.013059268,1.3416309,0.42281532,11.37476,77.583244,37.943573,-101.69348,33.25089,694.4715
9273139,9.6354758E8,9.7292774E8,0.012956155,1.2413025,0.36572075,88.33768,40.3984,65.657036,-3.2490177,119.244644,-318.42963
13141366,1.30056435E9,1.32429939E9,0.011869531,1.30937,0.39894867,64.13865,15.960581,97.4926,49.8945,-84.42,193.10327
13340639,1.23926579E9,1.26345126E9,0.013921733,1.4552307,0.46139526,34.23767,28.449549,3.0345833,162.53874,-1.1167524,-104.995056
13455695,9.2988326E8,9.5941101E8,0.015025662,1.2158871,0.3445816,14.589303,34.59573,52.792175,-420.8726,90.469284,503.80783
13389150,4.8801744E8,5.36235616E8,0.006808307,0.7476692,0.13114166,11.976284,93.44674,66.9601,-32.136932,-158.9811,-434.53445
13066260,8.3557594E8,8.575705E8,0.010801528,0.95495224,0.25481033,89.806526,62.936478,72.94062,-184.9388,-20.553717,-247.9153
13377836,7.3898867E8,7.7189312E8,0.01224525,1.0290031,0.2893753,63.910778,61.75917,97.81566,194.6133,-43.1746,-148.18495
12238219,3.22679322E9,3.27037901E9,0.01575285,1.7165489,0.55352783,84.283035,64.21147,62.380516,-161.88675,-99.88284,-198.66544
13128589,5.5787238E8,5.8614291E8,0.007998729,1.1549187,0.29145432,58.76969,1.4172184,54.76769,62.731976,-206.34897,-41.406757
12904233,4.66898752E8,4.82273856E8,0.011171013,0.9599724,0.28513336,52.235558,21.956007,10.182496,-203.76929,-204.003,348.07834
13502069,6.137511E8,6.4391846E8,0.009870149,1.3381729,0.44552994,44.633965,33.989494,87.39262,-23.994688,177.29115,78.52112
13145531,8.103424E8,8.3536704E8,0.012444691,1.5180511,0.48012733,7.229203,29.843498,68.92611,-121.92893,50.91777,-255.28723
13497346,7.3818061E8,7.922039E8,0.010190813,1.2868729,0.41888428,60.619576,73.22604,5.0795174,63.422264,0.42456582,-26.188026
3216530,1.56969856E9,1.58750835E9,0.012755927,1.2185974,0.33438873,31.4412,53.128204,50.532417,-107.469574,154.99037,4.3075438
13459706,1.03351226E9,1.05168102E9,0.01263017,1.5821877,0.4901619,78.7845,13.979274,43.61867,261.1565,-90.46663,-46.599857
12545999,2.05964301E9,2.09317798E9,0.012426432,1.2267456,0.38401985,87.249626,61.052498,49.610985,-34.764973,345.47586,14.261482
9027313,1.21611397E10,1.22131681E10,0.020307124,1.3110485,0.42432404,29.35516,10.578576,10.867046,361.33514,105.94582,164.22043
13501702,4.02874624E8,4.28965152E8,0.00941146,1.1457758,0.38564682,14.831948,17.988626,48.923557,-142.9668,38.55945,201.20665
12831002,1.40205235E9,1.40748096E9,0.014843754,1.8442669,0.58584404,30.241488,35.73216,89.17098,169.12466,82.49649,25.238825
2412731,1.14239498E10,1.14839747E10,0.021772424,1.1810322,0.36615372,93.20486,13.466131,40.924553,74.54192,136.73553,95.98023
12509405,9.9150374E8,1.01084525E9,0.012848213,1.43746,0.42604637,56.65623,47.645054,46.65812,77.553276,30.401424,-244.48994
2378540,1.74233869E9,1.81211968E9,0.0120666595,1.0031796,0.24616241,33.241905,72.61127,31.696974,-259.7615,277.87994,164.64778
13627641,8.1035412E9,8.2255759E9,0.018882448,1.5919666,0.5122471,75.34666,22.613586,30.695257,-208.43958,284.54938,382.06216
13077106,6.6279232E8,6.8058765E8,0.010107514,1.0694923,0.29930496,44.377666,13.06386,5.7243185,190.02896,98.01779,327.78467
12910480,1.37928218E9,1.39603507E9,0.01285172,1.2718506,0.37465096,77.439255,20.24997,39.446194,103.309425,24.486105,-70.649506
13492535,1.83270323E9,1.85771034E9,0.015134195,2.156847,0.6696987,56.799065,89.41661,23.740673,-47.42169,206.18176,117.41246
12374816,6.5741325E8,6.6384973E8,0.011694739,1.1660233,0.34024048,79.47149,88.57588,1.0625066,-255.99908,29.590725,166.80797
13481009,1.81043123E9,1.82395341E9,0.016178442,1.8023262,0.5820923,3.80565,64.15508,89.1052,-268.78152,-187.11473,-6.377628
13642139,6.2966241E9,6.3980088E9,0.017023012,1.2029533,0.36985207,95.62171,65.9855,34.73912,-529.0066,167.72487,665.1533
13506647,1.65516224E9,1.68294067E9,0.017352894,1.8467388,0.5717087,56.181908,85.55836,28.253721,79.26029,110.73116,-67.0367
12174220,1.52661184E9,1.55723392E9,0.011845465,1.4484138,0.4481678,83.640015,62.897552,43.20983,-116.62436,175.08722,334.8263
1375834,2.8009556E10,2.83943731E10,0.023602193,1.5824451,0.51937675,81.94189,60.52807,43.177155,104.45055,158.42014,124.557556
12452001,1.29840653E9,1.30720666E9,0.014018259,1.1893921,0.37298012,22.157005,97.41873,37.37101,133.99286,-329.7497,222.81458
13371952,1.34712653E9,1.3807017E9,0.015054834,1.6971369,0.5743141,65.05013,63.141335,16.880247,120.85747,102.26105,-75.31966
13444023,1.96928832E9,1.9882633E9,0.016479664,1.1487103,0.34766388,76.8054,57.346935,40.89178,-29.602877,164.92621,220.47957
13006234,1.33288666E9,1.35521203E9,0.014349069,1.1367912,0.32036018,94.81618,75.43889,50.668686,339.69482,-234.83649,-47.962753
13430890,2.4669143E9,2.52935629E9,0.014223335,1.5160694,0.5265541,91.13138,99.55711,21.024319,-326.2833,8.697392,265.30356
13470223,1.85175565E9,1.88581542E9,0.016513214,1.8744411,0.5885525,48.57016,68.55096,89.967766,151.62668,22.652466,68.82707
13336019,7.3936557E8,7.6048749E8,0.014194722,2.0554981,0.66002274,29.037428,75.71649,96.55593,97.9185,3.6878986,53.88271
12800060,1.00813907E9,1.02135597E9,0.010192709,0.80636597,0.16869736,13.603137,79.68472,73.89332,50.70037,99.1293,-377.8439
2456279,1.09652623E10,1.11681843E10,0.018504119,1.2139645,0.3499279,84.15489,30.05314,87.26939,-69.89902,225.86722,-29.726822
13387321,1.76366106E9,1.77855091E9,0.016201084,1.38171,0.4546547,3.0778368,17.870783,52.01098,-73.10187,84.06533,-36.655804
13306848,1.24740672E9,1.26037094E9,0.013963496,1.0734844,0.2873745,75.14714,41.935986,40.867493,-33.361336,3.1648629,-43.749702
13132713,1.0211815E9,1.03689677E9,0.012621546,0.94909096,0.23604774,32.52627,79.381966,46.372482,-312.70367,-75.3817,213.1321
9497639,5.3287716E9,5.3555169E9,0.01921772,1.9655914,0.65919304,3.1552093,74.66179,47.572105,203.4419,-429.90323,-897.79346
13295520,1.46547651E10,1.47231017E10,0.024258528,1.787075,0.6248703,17.072876,79.20341,47.862892,-1017.6671,-44.07772,302.0315
2760302,1.03909898E10,1.0504789E10,0.019002652,1.2172394,0.36977005,77.92215,32.40341,50.669075,46.527832,39.705288,160.94759
13473532,8.5445901E8,8.8513267E8,0.01285122,1.4000454,0.43279076,13.386544,26.507744,56.269524,-374.36383,279.93488,90.82706
13438381,1.09955443E9,1.13598592E9,0.011644885,1.4993286,0.50198364,41.75979,68.03275,48.22951,-2.981276,278.656,-124.529434
58745070,1.52878387E10,1.5352023E10,0.018939167,1.1457653,0.35928345,32.64624,37.81076,67.30529,-42.59819,-68.06332,-106.55575
12895385,7.4513107E8,7.8688742E8,0.011543216,1.3684654,0.41477013,60.455284,51.430058,68.32463,269.06473,53.815475,26.102095
13399347,4.77512736E8,4.96290016E8,0.013248731,1.3309755,0.43170166,47.496826,42.809795,97.34367,34.457783,32.928726,-132.54353
13136829,2.24629965E9,2.26623514E9,0.016247384,1.7318954,0.5701885,25.040253,4.0115013,7.1435966,190.97511,124.90306,-10.989183
13357947,1.12408525E9,1.15894016E9,0.013745436,1.1846886,0.38000488,98.720146,70.76253,25.910608,-147.35959,9.574831,404.75763
