x,y,z,fof_x,fof_y,fof_z,mstar,astar,grpid,fof_mass,dist
5.075611,74.89246,48.51825,5.717667,75.61041,47.477654,2.0744142E7,1.954448E7,27000000000000,5.52521169E14,2.0105265871209212
3.4366004,72.055,47.947525,5.717667,75.61041,47.477654,1.503599E7,1.503599E7,27000000000000,5.52521169E14,18.065000905393447
2.344641,73.97818,48.129898,5.717667,75.61041,47.477654,1.0430096E7,1.0430096E7,27000000000000,5.52521169E14,14.466911743417825
5.660169,76.00414,47.793568,5.717667,75.61041,47.477654,1.5873315E7,1.5873315E7,27000000000000,5.52521169E14,0.25813121193732513
6.363493,76.3399,48.558086,5.717667,75.61041,47.477654,1.2989249E7,1.2989249E7,27000000000000,5.52521169E14,2.1165739994669366
5.3320556,75.154686,48.065235,5.717667,75.61041,47.477654,1.1585123E7,1.1585123E7,27000000000000,5.52521169E14,0.7016351878710338
6.2007046,76.40534,47.40338,5.717667,75.61041,47.477654,1.0865958E7,1.0865958E7,27000000000000,5.52521169E14,0.8707544692135798
6.6290846,74.6112,47.682182,5.717667,75.61041,47.477654,3.311924E7,3.311924E7,27000000000000,5.52521169E14,1.8709428264539838
5.402453,74.91842,48.33304,5.717667,75.61041,47.477654,1.1072945E7,1.1072945E7,27000000000000,5.52521169E14,1.309898465875449
2.1156623,73.89749,48.025608,5.717667,75.61041,47.477654,1.4045024E7,1.4045024E7,27000000000000,5.52521169E14,16.208791377408545
2.9932632,73.79292,47.567192,5.717667,75.61041,47.477654,1.0541951E7,1.0541951E7,27000000000000,5.52521169E14,10.733662072198285
6.02621,76.39627,47.85182,5.717667,75.61041,47.477654,1.0475084E7,1.0475084E7,27000000000000,5.52521169E14,0.8527736425005514
6.813779,76.48014,48.28274,5.717667,75.61041,47.477654,1.81972E7,1.81972E7,27000000000000,5.52521169E14,2.606054727115634
5.0060906,76.09529,48.216312,5.717667,75.61041,47.477654,1.2615449E7,1.2615449E7,27000000000000,5.52521169E14,1.287065237545903
5.984771,76.344696,48.22608,5.717667,75.61041,47.477654,1.4018482E7,1.4018482E7,27000000000000,5.52521169E14,1.1706615397290534
6.0661416,74.89582,46.969887,5.717667,75.61041,47.477654,2.4276122E7,2.4276122E7,27000000000000,5.52521169E14,0.8899032224180701
5.3324394,76.21723,45.896484,5.717667,75.61041,47.477654,6.6502372E7,6.6502372E7,27000000000000,5.52521169E14,3.0167256625029495
3.3961656,72.67157,47.80393,5.717667,75.61041,47.477654,2.7290176E7,2.7290176E7,27000000000000,5.52521169E14,14.132621323080059
6.129463,74.78084,46.424614,5.717667,75.61041,47.477654,2.2113544E7,2.2113544E7,27000000000000,5.52521169E14,1.9666623097220963
4.984373,74.73763,48.091835,5.717667,75.61041,47.477654,1.0479159E7,1.0479159E7,27000000000000,5.52521169E14,1.6766837029920225
6.91653,76.0341,48.149292,5.717667,75.61041,47.477654,1.7980122E7,1.7980122E7,27000000000000,5.52521169E14,2.0678847135795877
5.2011795,76.98799,48.213318,5.717667,75.61041,47.477654,1.0587249E7,1.0587249E7,27000000000000,5.52521169E14,2.7056846732814392
3.3177996,72.42659,47.638718,5.717667,75.61041,47.477654,2.037945E7,2.037945E7,27000000000000,5.52521169E14,15.922032394552161
5.9725547,74.86295,49.134876,5.717667,75.61041,47.477654,1.1431359E7,1.1431359E7,27000000000000,5.52521169E14,3.3700504867383643
5.6100802,75.619896,47.45153,5.717667,75.61041,47.477654,1.66621686E10,1.66621686E10,27000000000000,5.52521169E14,0.012347279852292559
5.8498483,75.68143,47.531353,5.717667,75.61041,47.477654,8.7894538E9,8.7894538E9,27000000000000,5.52521169E14,0.02539854227870819
5.271619,75.24143,47.60996,5.717667,75.61041,47.477654,3.73587405E9,3.73587405E9,27000000000000,5.52521169E14,0.3526102427533715
5.796942,75.69618,47.416183,5.717667,75.61041,47.477654,3.77437414E9,3.77437414E9,27000000000000,5.52521169E14,0.017419544663425768
5.69189,75.25271,47.385406,5.717667,75.61041,47.477654,2.38931789E9,2.38931789E9,27000000000000,5.52521169E14,0.137126249914445
6.3211823,75.93389,47.73999,5.717667,75.61041,47.477654,3.48232602E9,3.48232602E9,27000000000000,5.52521169E14,0.537689563003596
5.857858,75.75163,47.286743,5.717667,75.61041,47.477654,2.98E9,2.98E9,27000000000000,5.52521169E14,0.07604341067872156
6.0413604,75.75992,47.47328,5.717667,75.61041,47.477654,2.2742807E9,2.2742807E9,27000000000000,5.52521169E14,0.12714837682233338
5.2669134,75.28623,47.59258,5.717667,75.61041,47.477654,1.84030733E9,1.84030733E9,27000000000000,5.52521169E14,0.32147979536443927
6.778502,76.23464,48.235893,5.717667,75.61041,47.477654,1.26610611E9,1.26506714E9,27000000000000,5.52521169E14,2.089960547749797
5.425443,75.220314,47.538105,5.717667,75.61041,47.477654,2.95161805E9,2.95161805E9,27000000000000,5.52521169E14,0.2412261059444063
4.1949463,74.29974,46.928253,5.717667,75.61041,47.477654,1.57572838E9,1.54829978E9,27000000000000,5.52521169E14,4.33837248299119
4.9688673,75.214806,47.207344,5.717667,75.61041,47.477654,1.898144E9,1.89670144E9,27000000000000,5.52521169E14,0.7902732337954603
5.7747693,75.63805,47.48291,5.717667,75.61041,47.477654,8.0348872E9,8.0348872E9,27000000000000,5.52521169E14,0.00405191358004231
1.0947797,73.68836,47.73308,5.717667,75.61041,47.477654,1.52447322E9,1.52447322E9,27000000000000,5.52521169E14,25.13061152381215
5.362151,75.17803,47.40473,5.717667,75.61041,47.477654,1.19233126E9,1.19233126E9,27000000000000,5.52521169E14,0.3186622268569863
1.9159966,73.92257,48.27081,5.717667,75.61041,47.477654,1.17648384E9,1.1754231E9,27000000000000,5.52521169E14,17.930609979903466
