#OK
#SQL=     
#	          
#	           SELECT
#							     ape.GalaxyID as id,
#							     ape.Mass_Star as SM,
#						             ape.VelDisp as VelDisp,
#							     ape.SFR as SFR,
#						             ape.Mass_Gas as GM,
#						             (ape.Mass_DM + ape.Mass_Star + ape.Mass_Gas) as Tot_Mass,
#						             M.MassType_Star as SM_sh,
#							     M.Stars_Metallicity as Metal,
#					                     M.SF_Metallicity as SF_Metal,
#					                     M.NSF_Metallicity as NSF_Metal,
#				         	             M.SF_Oxygen as SF_O,
#				                             M.SF_Hydrogen as SF_H,
#							     M.CentreOfMass_x as x,
#							     M.CentreOfMass_y as y,
#							     M.CentreOfMass_z as z,
#			                                     M.SubGroupNumber as SubGrpNum,
#						             sqrt(M.Velocity_x*M.Velocity_x + M.Velocity_y*M.Velocity_y + M.Velocity_z*M.Velocity_z) as Vel,
#						             M.Mass as Mass_sh,
#		                                             M.GroupID as grpid,
#							     mg.u_nodust as u,
#							     mg.g_nodust as g,
#							     mg.r_nodust as r,
#						             mg.i_nodust as i,
#						             mg.z_nodust as z,
#						             mg.Y_nodust as Y,
#						             mg.J_nodust as J,
#						             mg.H_nodust as H,
#						             mg.K_nodust as K
#					                FROM 
#					     	             RefL0100N1504_Subhalo as M, 
#							     RefL0100N1504_Aperture as ape,
#							     RefL0100N1504_Magnitudes as mg
#						        WHERE 
#							     M.SnapNum = 27
#							     and M.Spurious=0
#	                                                     and ape.Mass_Star >= 1.0e10
#							     and ape.ApertureSize = 30
#						             and M.GalaxyID = ape.GalaxyID
#							     and M.GalaxyID = mg.GalaxyID
#							ORDER BY 
#							     M.Mass 
#		
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 2071 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=SM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=VelDisp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=SFR JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=GM JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=Tot_Mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=SM_sh JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=SF_Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=NSF_Metal JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=SF_O JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=SF_H JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=SubGrpNum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 17 name=Vel JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 18 name=Mass_sh JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=grpid JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 20 name=u JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=g JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=r JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=i JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=Y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=J JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=H JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 28 name=K JDBC_TYPE=7 JDBC_TYPENAME=real
id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,z,Y,J,H,K
3868860,2.68594708E10,108.45978,0.0,0.0,2.74411745E10,2.68703089E10,0.047738973,0.0,0.0,0.0,0.0,53.295605,99.99629,4.767556,0,255.35286553610476,2.76166902E10,27000100001209,-17.242512,-19.255297,-20.17631,-20.552837,-20.954077,-21.318165,-21.485533,-21.733448,-21.513584
55607391,1.47615048E10,64.33687,0.592677,1.08749568E9,2.8113236E10,1.47615048E10,0.02858627,0.053907394,0.046734247,0.021731788,0.6302691,40.466797,98.15241,99.07798,1,161.04835987600123,2.81186632E10,27000000000189,-18.711922,-19.824492,-20.358847,-20.621334,-20.908695,-21.155563,-21.259645,-21.464619,-21.225729
15100430,1.46663844E10,91.08007,0.1393382,2.3554216E8,2.89403535E10,1.46663844E10,0.030989828,0.069697596,0.0696568,0.026047027,0.5978997,98.776825,3.737381,4.001164,2,564.3089800809482,2.89511404E10,27000000000205,-17.90548,-19.41601,-20.15041,-20.46352,-20.786634,-21.064665,-21.18754,-21.405506,-21.162691
19274839,2.0214956E10,93.303276,0.0,2560317.5,2.9030314E10,2.0214956E10,0.034491137,0.0,0.027981153,0.0,0.0,58.061157,41.91672,89.63304,5,554.0416556992805,2.9056127E10,27000000000041,-17.353365,-19.181362,-20.033545,-20.390772,-20.754644,-21.058983,-21.19554,-21.429893,-21.18649
54435289,1.08795392E10,66.914925,0.0,8293818.5,2.92696412E10,1.08795392E10,0.024915818,0.0,0.06948059,0.0,0.0,79.73414,42.996502,55.48765,3,207.6725468586303,2.92805448E10,27000000000129,-17.10436,-18.788065,-19.573332,-19.907606,-20.23077,-20.480404,-20.58877,-20.803486,-20.541014
1738146,1.17840282E10,71.68079,0.0,4498847.5,2.96758866E10,1.17840282E10,0.019985342,0.0,0.025304249,0.0,0.0,14.331134,5.5742345,99.16067,2,515.8720771664231,2.96889528E10,27000000000182,-17.58747,-19.19008,-19.929722,-20.243847,-20.541557,-20.757744,-20.849318,-21.049767,-20.765245
16475748,1.47474207E10,95.89582,0.0,0.0,2.98038272E10,1.47474207E10,0.0272079,0.0,0.0,0.0,0.0,71.39923,56.565228,5.0249233,1,406.4574470347419,2.98442813E10,27000000000402,-17.38889,-19.07353,-19.840631,-20.170471,-20.500746,-20.765327,-20.878769,-21.099348,-20.84103
3550458,1.32431032E10,71.12106,0.0,0.0,3.00737024E10,1.32431032E10,0.02714898,0.0,0.0,0.0,0.0,52.237164,5.0672717,20.121412,60,588.7972910943121,3.00882022E10,27000000000003,-17.074312,-18.7952,-19.604988,-19.95167,-20.28867,-20.548567,-20.661963,-20.883635,-20.624147
49619497,1.51876188E10,74.84048,0.0,0.0,3.02246339E10,1.51876188E10,0.018282725,0.0,0.0,0.0,0.0,10.876351,81.33704,55.063164,60,1280.8548902978823,3.0374314E10,27000000000004,-17.23507,-18.913319,-19.700188,-20.042826,-20.365095,-20.58455,-20.6723,-20.885763,-20.60635
70222,1.1424725E10,68.81141,0.0,0.0,3.04270152E10,1.1424725E10,0.028114703,0.0,0.0,0.0,0.0,15.589093,78.27309,52.8484,88,939.0486542240503,3.04398561E10,27000000000001,-17.04655,-18.761402,-19.566086,-19.907246,-20.241217,-20.505846,-20.622347,-20.842136,-20.58309
61912703,1.30696079E10,71.734764,0.0,1.2096073E7,3.0397055E10,1.30696079E10,0.013064026,0.0,0.010591848,0.0,0.0,76.96458,90.9904,41.441307,40,913.2131459850981,3.05235026E10,27000000000006,-17.202658,-18.81198,-19.568188,-19.90459,-20.205765,-20.385798,-20.452332,-20.65375,-20.36049
62020536,1.3849342E10,69.29744,0.0,0.0,3.07381125E10,1.3849342E10,0.030137375,0.0,0.0,0.0,0.0,72.68423,28.670134,26.702164,32,869.71159012629,3.07490058E10,27000000000010,-17.094675,-18.84516,-19.667826,-20.017296,-20.361837,-20.638643,-20.760857,-20.985872,-20.73396
20097354,1.14117427E10,67.62626,0.3516337,6.100665E8,3.10725755E10,1.14117427E10,0.028627707,0.071129404,0.022130203,0.027736159,0.59045374,47.788452,80.426636,10.491444,5,242.42186241137577,3.10946161E10,27000000000107,-18.136728,-19.34819,-19.955679,-20.241056,-20.54706,-20.808252,-20.91993,-21.131918,-20.896082
