id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047,-49.6946, 42.8428,  0.6454,  8.7808,  6.7542,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479,-49.8529, 42.1886,  0.0999,  1.4276,  6.7542,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604,-51.6805, 40.8674,  1.6192,  4.2315,  4.1159,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449,-51.4878, 40.1131,  0.8469,  4.2315,  4.1159,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987,-54.0144, 42.2904,  0.7136,  0.4214,  1.8409,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590,-58.2943, 42.7836,  0.6986,  4.1935,  4.0745,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313,-54.0086, 42.5929,  0.8897,  0.9263,  1.8409,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843,-51.9268, 38.1147,  0.2065,  1.3725,  4.1159,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505,-54.4304, 42.4839,  0.5079,  0.9263,  1.8409,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830,-49.2866, 39.2530,  0.9801,  0.6920,  0.8682,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232,-49.0444, 41.2955,  0.0053,  0.0947,  6.7542,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601,-49.0187, 39.0695,  1.0087,  2.5471,  2.9472,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672,-51.7259, 40.3817,  1.1374,  3.7776,  4.1159,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676,-53.8638, 41.0094,  0.3920,  0.1645,  1.8409,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
215850,-27.1661,-37.6871,  0.0168,  2.0878,  1.8029,1999499010.0000, 31.4850,  0.0128, 10.8654, 11.1023
248932, 28.7192, 38.4705,  1.4072,  0.6131,  3.5318,1755226880.0000, 99.5526,  0.0149, 72.8045, 49.1026
628809,  8.8385,-16.8488,  2.7436,  0.0817,  1.9024,1092157310.0000, 75.7547,  0.0135, 22.0572, 30.9086
630781, 31.4230,  9.7386,  0.7689,  0.2029,  1.8571,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
