#OK
#SQL= SELECT  
#	        SH.GalaxyID,
#		FOF.Group_M_Crit200 as M,                                                          
#	                     FOF.Group_R_Crit200 as R,
#	                      FOF.GroupID as grpid,                                                              
#	                      FOF.NumOfSubhalos as Num,           
#	        SH.CentreOfPotential_x as sh_x,         
#		SH.CentreOfPotential_y as sh_y,         
#		SH.CentreOfPotential_z as sh_z,         
#		FOF.GroupCentreOfPotential_x as fof_x,         
#		FOF.GroupCentreOfPotential_y as fof_y,         
#		FOF.GroupCentreOfPotential_z as fof_z,
#		SH.MassType_Star as mstar, 
#		FOF.GroupMass as fof_mass,
#		square(SH.CentreOfPotential_x-FOF.GroupCentreOfPotential_x) 
#			+ square(SH.CentreOfPotential_y-FOF.GroupCentreOfPotential_y)
#			+ square(SH.CentreOfPotential_z-FOF.GroupCentreOfPotential_z) as dist
#	FROM  
#		RefL0100N1504_Subhalo as SH,              
#		RefL0100N1504_FOF as FOF           
#	WHERE  
#		SH.MassType_Star > 1.0e9     
#		and SH.SnapNum = 27              
#		and FOF.SnapNum = SH.SnapNum             
#		and FOF.GroupID = SH.GroupID
#	ORDER BY 
#	          FOF.GroupID
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 194 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=M JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=R JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=grpid JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=Num JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 6 name=sh_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=sh_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=sh_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=fof_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=fof_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=fof_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=mstar JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=fof_mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=dist JDBC_TYPE=8 JDBC_TYPENAME=float
GalaxyID,M,R,grpid,Num,sh_x,sh_y,sh_z,fof_x,fof_y,fof_z,mstar,fof_mass,dist
8222576,3.41844802E14,1426.7043,27000000000000,17101,1.1018418,73.77025,47.769814,5.717667,75.61041,47.477654,8.0307741E10,5.52521169E14,24.77740376934912
8225949,3.41844802E14,1426.7043,27000000000000,17101,2.6207175,73.05734,47.10654,5.717667,75.61041,47.477654,8.4481548E10,5.52521169E14,16.24698818624256
8228662,3.41844802E14,1426.7043,27000000000000,17101,0.5584154,73.62219,48.67084,5.717667,75.61041,47.477654,2.46329508E10,5.52521169E14,31.994594542502682
8231473,3.41844802E14,1426.7043,27000000000000,17101,4.3156075,75.07683,48.339546,5.717667,75.61041,47.477654,8.229213E10,5.52521169E14,2.9933425422968867
8234983,3.41844802E14,1426.7043,27000000000000,17101,2.3111274,72.241714,48.454174,5.717667,75.61041,47.477654,5.2002648E10,5.52521169E14,23.906231967957922
8242262,3.41844802E14,1426.7043,27000000000000,17101,5.664971,76.12522,48.57025,5.717667,75.61041,47.477654,7.309226E10,5.52521169E14,1.461575148801785
8244582,3.41844802E14,1426.7043,27000000000000,17101,5.9857316,75.84939,47.475853,5.717667,75.61041,47.477654,1.14039276E11,5.52521169E14,0.12897111900747404
8255217,3.41844802E14,1426.7043,27000000000000,17101,1.2342987,73.117775,47.667095,5.717667,75.61041,47.477654,4.9253622E10,5.52521169E14,26.349722707338742
8259239,3.41844802E14,1426.7043,27000000000000,17101,5.6853695,75.689095,47.501057,5.717667,75.61041,47.477654,8.7782253E10,5.52521169E14,0.007781692546132035
8266167,3.41844802E14,1426.7043,27000000000000,17101,6.359575,76.45644,47.511,5.717667,75.61041,47.477654,4.2138739E10,5.52521169E14,1.128926352365852
8268441,3.41844802E14,1426.7043,27000000000000,17101,3.0626936,72.50235,47.916046,5.717667,75.61041,47.477654,3.1161983E10,5.52521169E14,16.901126450071615
8269571,3.41844802E14,1426.7043,27000000000000,17101,6.722742,74.7397,46.79098,5.717667,75.61041,47.477654,4.2481951E10,5.52521169E14,2.2398343111074155
8271405,3.41844802E14,1426.7043,27000000000000,17101,6.635775,74.71946,47.306885,5.717667,75.61041,47.477654,4.4981989E10,5.52521169E14,1.6658815987793787
56107103,3.41844802E14,1426.7043,27000000000000,17101,4.9688673,75.214806,47.207344,5.717667,75.61041,47.477654,1.898144E9,5.52521169E14,0.7902732337954603
56107300,3.41844802E14,1426.7043,27000000000000,17101,5.7747693,75.63805,47.48291,5.717667,75.61041,47.477654,8.0348872E9,5.52521169E14,0.00405191358004231
56108144,3.41844802E14,1426.7043,27000000000000,17101,1.0947797,73.68836,47.73308,5.717667,75.61041,47.477654,1.52447322E9,5.52521169E14,25.13061152381215
56108330,3.41844802E14,1426.7043,27000000000000,17101,5.362151,75.17803,47.40473,5.717667,75.61041,47.477654,1.19233126E9,5.52521169E14,0.3186622268569863
56108573,3.41844802E14,1426.7043,27000000000000,17101,1.9159966,73.92257,48.27081,5.717667,75.61041,47.477654,1.17648384E9,5.52521169E14,17.930609979903466
56108925,3.41844802E14,1426.7043,27000000000000,17101,5.0223155,76.149605,46.223553,5.717667,75.61041,47.477654,2.37750656E9,5.52521169E14,2.347010892205617
56109407,3.41844802E14,1426.7043,27000000000000,17101,2.9683099,73.76399,47.61697,5.717667,75.61041,47.477654,1.03011181E9,5.52521169E14,10.987642126292485
56109788,3.41844802E14,1426.7043,27000000000000,17101,5.7749033,75.43148,47.42935,5.717667,75.61041,47.477654,1.85445581E9,5.52521169E14,0.03762576448229993
56110109,3.41844802E14,1426.7043,27000000000000,17101,2.8641393,73.59336,47.65645,5.717667,75.61041,47.477654,1.21159091E9,5.52521169E14,12.243085965778448
56110501,3.41844802E14,1426.7043,27000000000000,17101,6.5057344,76.02116,47.437817,5.717667,75.61041,47.477654,1.3625623E9,5.52521169E14,0.7913475090865632
56111500,3.41844802E14,1426.7043,27000000000000,17101,5.4248695,75.36791,47.542683,5.717667,75.61041,47.477654,2.12777894E9,5.52521169E14,0.1487656019564838
56111893,3.41844802E14,1426.7043,27000000000000,17101,6.3266683,75.669205,47.438442,5.717667,75.61041,47.477654,2.01479808E9,5.52521169E14,0.3758764491212787
56112495,3.41844802E14,1426.7043,27000000000000,17101,5.8191795,75.4619,47.601845,5.717667,75.61041,47.477654,1.84301837E9,5.52521169E14,0.04778459592876061
56112925,3.41844802E14,1426.7043,27000000000000,17101,1.6072392,73.900314,48.463642,5.717667,75.61041,47.477654,1.26739354E9,5.52521169E14,20.792226797217154
56113298,3.41844802E14,1426.7043,27000000000000,17101,2.359903,73.74906,48.15238,5.717667,75.61041,47.477654,1.24830822E9,5.52521169E14,15.194465117061156
56113532,3.41844802E14,1426.7043,27000000000000,17101,5.4760637,75.64046,47.45737,5.717667,75.61041,47.477654,1.42289037E9,5.52521169E14,0.05968625564514696
56102444,3.41844802E14,1426.7043,27000000000000,17101,5.271619,75.24143,47.60996,5.717667,75.61041,47.477654,3.73587405E9,5.52521169E14,0.3526102427533715
56102786,3.41844802E14,1426.7043,27000000000000,17101,5.796942,75.69618,47.416183,5.717667,75.61041,47.477654,3.77437414E9,5.52521169E14,0.017419544663425768
56104260,3.41844802E14,1426.7043,27000000000000,17101,5.69189,75.25271,47.385406,5.717667,75.61041,47.477654,2.38931789E9,5.52521169E14,0.137126249914445
56104583,3.41844802E14,1426.7043,27000000000000,17101,6.3211823,75.93389,47.73999,5.717667,75.61041,47.477654,3.48232602E9,5.52521169E14,0.537689563003596
56104927,3.41844802E14,1426.7043,27000000000000,17101,5.857858,75.75163,47.286743,5.717667,75.61041,47.477654,2.98E9,5.52521169E14,0.07604341067872156
56105437,3.41844802E14,1426.7043,27000000000000,17101,6.0413604,75.75992,47.47328,5.717667,75.61041,47.477654,2.2742807E9,5.52521169E14,0.12714837682233338
56105651,3.41844802E14,1426.7043,27000000000000,17101,5.2669134,75.28623,47.59258,5.717667,75.61041,47.477654,1.84030733E9,5.52521169E14,0.32147979536443927
56105884,3.41844802E14,1426.7043,27000000000000,17101,6.778502,76.23464,48.235893,5.717667,75.61041,47.477654,1.26610611E9,5.52521169E14,2.089960547749797
56106143,3.41844802E14,1426.7043,27000000000000,17101,5.425443,75.220314,47.538105,5.717667,75.61041,47.477654,2.95161805E9,5.52521169E14,0.2412261059444063
56106505,3.41844802E14,1426.7043,27000000000000,17101,4.1949463,74.29974,46.928253,5.717667,75.61041,47.477654,1.57572838E9,5.52521169E14,4.33837248299119
56099343,3.41844802E14,1426.7043,27000000000000,17101,5.6100802,75.619896,47.45153,5.717667,75.61041,47.477654,1.66621686E10,5.52521169E14,0.012347279852292559
56101135,3.41844802E14,1426.7043,27000000000000,17101,5.8498483,75.68143,47.531353,5.717667,75.61041,47.477654,8.7894538E9,5.52521169E14,0.02539854227870819
56116687,3.41844802E14,1426.7043,27000000000000,17101,3.4991577,72.13948,48.02145,5.717667,75.61041,47.477654,1.02546118E9,5.52521169E14,17.264867788324466
122971,3.41844802E14,1426.7043,27000000000000,17101,6.6187534,75.94074,47.23222,5.717667,75.61041,47.477654,4.449663E10,5.52521169E14,0.9813121682038854
124304,3.41844802E14,1426.7043,27000000000000,17101,5.851309,75.775894,47.457054,5.717667,75.61041,47.477654,4.9003225E10,5.52521169E14,0.045668592267475105
127772,3.41844802E14,1426.7043,27000000000000,17101,5.7664757,75.431526,47.58053,5.717667,75.61041,47.477654,3.7754999E10,5.52521169E14,0.04496584131652526
130678,3.41844802E14,1426.7043,27000000000000,17101,5.768519,75.28871,47.63623,5.717667,75.61041,47.477654,3.7581246E10,5.52521169E14,0.131224127169844
131933,3.41844802E14,1426.7043,27000000000000,17101,5.746704,76.17421,47.259624,5.717667,75.61041,47.477654,2.77426463E10,5.52521169E14,0.3662468557306511
132809,3.41844802E14,1426.7043,27000000000000,17101,2.7207592,72.942345,47.9687,5.717667,75.61041,47.477654,5.507215E10,5.52521169E14,16.341170811335417
135178,3.41844802E14,1426.7043,27000000000000,17101,5.69302,75.21691,48.05694,5.717667,75.61041,47.477654,2.84744192E10,5.52521169E14,0.49102147150938436
136322,3.41844802E14,1426.7043,27000000000000,17101,2.338211,73.45441,48.61268,5.717667,75.61041,47.477654,1.40351181E10,5.52521169E14,17.357366219919868
137389,3.41844802E14,1426.7043,27000000000000,17101,1.7699181,74.05151,47.779198,5.717667,75.61041,47.477654,1.50279782E10,5.52521169E14,18.10581801461467
138061,3.41844802E14,1426.7043,27000000000000,17101,6.2090025,75.8754,47.80746,5.717667,75.61041,47.477654,2.16753623E10,5.52521169E14,0.420399899963968
138873,3.41844802E14,1426.7043,27000000000000,17101,6.4723005,75.86513,47.540756,5.717667,75.61041,47.477654,1.26746358E10,5.52521169E14,0.6383332759999121
139400,3.41844802E14,1426.7043,27000000000000,17101,2.9975178,73.88963,47.363796,5.717667,75.61041,47.477654,1.07252419E10,5.52521169E14,10.373257384525061
140114,3.41844802E14,1426.7043,27000000000000,17101,5.779232,75.35156,47.44116,5.717667,75.61041,47.477654,2.9288108E10,5.52521169E14,0.07212551297948266
141442,3.41844802E14,1426.7043,27000000000000,17101,6.6250453,75.94402,47.087067,5.717667,75.61041,47.477654,1.21909821E10,5.52521169E14,1.0871892704753918
141999,3.41844802E14,1426.7043,27000000000000,17101,1.2736092,73.74364,48.062744,5.717667,75.61041,47.477654,1.62003313E10,5.52521169E14,23.576832855393377
142886,3.41844802E14,1426.7043,27000000000000,17101,6.2048397,75.64989,47.665684,5.717667,75.61041,47.477654,1.48259185E10,5.52521169E14,0.2742507531058891
143805,3.41844802E14,1426.7043,27000000000000,17101,5.060913,75.40919,47.47744,5.717667,75.61041,47.477654,8.0284815E9,5.52521169E14,0.4718174979354899
2631022,3.41844802E14,1426.7043,27000000000000,17101,5.5012474,75.26009,47.52349,5.717667,75.61041,47.477654,2.05510369E10,5.52521169E14,0.17166189040676727
2631558,3.41844802E14,1426.7043,27000000000000,17101,6.0976963,75.84618,47.416058,5.717667,75.61041,47.477654,1.62583388E10,5.52521169E14,0.20380429989950244
2632003,3.41844802E14,1426.7043,27000000000000,17101,5.874624,76.01387,47.24675,5.717667,75.61041,47.477654,1.05509786E10,5.52521169E14,0.24072994992548047
2632460,3.41844802E14,1426.7043,27000000000000,17101,6.7081876,75.67665,48.01256,5.717667,75.61041,47.477654,1.53484503E10,5.52521169E14,1.2716452257300261
2633227,3.41844802E14,1426.7043,27000000000000,17101,6.577609,75.91459,46.265446,5.717667,75.61041,47.477654,7.0600407E9,5.52521169E14,2.3014711498747147
2633736,3.41844802E14,1426.7043,27000000000000,17101,3.080688,73.99744,48.00986,5.717667,75.61041,47.477654,9.5161262E9,5.52521169E14,9.83859541748916
2634457,3.41844802E14,1426.7043,27000000000000,17101,5.922928,76.47023,46.754227,5.717667,75.61041,47.477654,8.8471716E9,5.52521169E14,1.304764480912354
2635237,3.41844802E14,1426.7043,27000000000000,17101,4.102453,73.56991,47.59083,5.717667,75.61041,47.477654,3.26686413E9,5.52521169E14,6.785383599255738
2635686,3.41844802E14,1426.7043,27000000000000,17101,6.1097307,76.13813,48.18531,5.717667,75.61041,47.477654,1.15452969E10,5.52521169E14,0.9329779674774272
2636274,3.41844802E14,1426.7043,27000000000000,17101,6.6020803,76.88094,47.86127,5.717667,75.61041,47.477654,8.966569E9,5.52521169E14,2.5435973550504514
2637530,3.41844802E14,1426.7043,27000000000000,17101,5.503017,75.09109,46.65477,5.717667,75.61041,47.477654,6.5786081E9,5.52521169E14,0.9929108394944706
2638164,3.41844802E14,1426.7043,27000000000000,17101,5.6504645,75.157974,47.87961,5.717667,75.61041,47.477654,1.23411866E10,5.52521169E14,0.370784191131861
2638767,3.41844802E14,1426.7043,27000000000000,17101,5.5620728,76.207825,48.72422,5.717667,75.61041,47.477654,6.9953347E9,5.52521169E14,1.9350395480435054
2639261,3.41844802E14,1426.7043,27000000000000,17101,5.888245,76.87593,48.244038,5.717667,75.61041,47.477654,4.3697413E9,5.52521169E14,2.2179777671262855
2639744,3.41844802E14,1426.7043,27000000000000,17101,6.892608,75.19831,46.41716,5.717667,75.61041,47.477654,4.16048307E9,5.52521169E14,2.6749607483807267
2642274,3.41844802E14,1426.7043,27000000000000,17101,4.882665,76.953896,45.3637,5.717667,75.61041,47.477654,4.7432095E9,5.52521169E14,6.97097049315289
2642562,3.41844802E14,1426.7043,27000000000000,17101,3.472418,74.06932,47.463345,5.717667,75.61041,47.477654,5.1833974E9,5.52521169E14,7.416312268172135
2642937,3.41844802E14,1426.7043,27000000000000,17101,6.2462907,75.83616,47.953636,5.717667,75.61041,47.477654,1.36463913E10,5.52521169E14,0.556963715065649
2643740,3.41844802E14,1426.7043,27000000000000,17101,2.611917,73.470055,47.530693,5.717667,75.61041,47.477654,2.89032141E9,5.52521169E14,14.229629022579502
2644016,3.41844802E14,1426.7043,27000000000000,17101,2.377686,73.96167,48.100353,5.717667,75.61041,47.477654,9.3009213E9,5.52521169E14,14.261580982842133
2644584,3.41844802E14,1426.7043,27000000000000,17101,7.6132517,76.20924,46.343914,5.717667,75.61041,47.477654,2.19396582E9,5.52521169E14,5.237204879726278
2645305,3.41844802E14,1426.7043,27000000000000,17101,6.995439,76.671425,47.10555,5.717667,75.61041,47.477654,5.137835E9,5.52521169E14,2.896910055264925
2645762,3.41844802E14,1426.7043,27000000000000,17101,5.62982,76.53228,45.790783,5.717667,75.61041,47.477654,1.04658893E10,5.52521169E14,3.7030889219370238
2646722,3.41844802E14,1426.7043,27000000000000,17101,6.0393305,74.96915,47.635353,5.717667,75.61041,47.477654,7.0697677E9,5.52521169E14,0.5395584038417383
2647138,3.41844802E14,1426.7043,27000000000000,17101,5.758714,75.22989,46.266212,5.717667,75.61041,47.477654,2.31064038E9,5.52521169E14,1.6140725298910183
2647528,3.41844802E14,1426.7043,27000000000000,17101,1.0249876,73.97613,47.90421,5.717667,75.61041,47.477654,2.74251494E9,5.52521169E14,24.874077082059557
2647907,3.41844802E14,1426.7043,27000000000000,17101,6.2423997,75.618225,47.174026,5.717667,75.61041,47.477654,7.2292285E9,5.52521169E14,0.36759468960008235
2648335,3.41844802E14,1426.7043,27000000000000,17101,2.3249938,72.73627,47.385452,5.717667,75.61041,47.477654,1.3226944E9,5.52521169E14,19.779445275924502
2648640,3.41844802E14,1426.7043,27000000000000,17101,2.8229167,73.63669,47.949833,5.717667,75.61041,47.477654,5.0786181E9,5.52521169E14,12.498120895296836
2648882,3.41844802E14,1426.7043,27000000000000,17101,5.9208307,75.75302,47.490482,5.717667,75.61041,47.477654,1.69773015E10,5.52521169E14,0.061777261777251624
2650085,3.41844802E14,1426.7043,27000000000000,17101,6.623135,75.007164,47.954456,5.717667,75.61041,47.477654,5.2302469E9,5.52521169E14,1.4111220792110544
2655359,3.41844802E14,1426.7043,27000000000000,17101,6.6991286,76.291214,46.895767,5.717667,75.61041,47.477654,3.75667507E9,5.52521169E14,1.7653489160302342
2655761,3.41844802E14,1426.7043,27000000000000,17101,3.0232954,72.923805,48.764713,5.717667,75.61041,47.477654,1.3209769E9,5.52521169E14,16.13402085804978
2656236,3.41844802E14,1426.7043,27000000000000,17101,2.316459,73.463135,48.177113,5.717667,75.61041,47.477654,9.3039176E9,5.52521169E14,16.668262050179294
2656791,3.41844802E14,1426.7043,27000000000000,17101,2.5206041,73.02538,47.58894,5.717667,75.61041,47.477654,3.50920499E9,5.52521169E14,16.91597428270711
2657145,3.41844802E14,1426.7043,27000000000000,17101,3.8837795,73.65535,47.321327,5.717667,75.61041,47.477654,1.28607962E9,5.52521169E14,7.209852366299174
2657437,3.41844802E14,1426.7043,27000000000000,17101,3.7270138,73.25736,47.455776,5.717667,75.61041,47.477654,1.9793504E9,5.52521169E14,9.500024476783949
2657807,3.41844802E14,1426.7043,27000000000000,17101,4.0223284,74.911194,47.11464,5.717667,75.61041,47.477654,2.48457805E9,5.52521169E14,3.4948595811622454
2658206,3.41844802E14,1426.7043,27000000000000,17101,5.5342984,74.28759,48.578552,5.717667,75.61041,47.477654,1.0381271E10,5.52521169E14,2.9954616692994023
2658997,3.41844802E14,1426.7043,27000000000000,17101,5.635874,75.71239,47.367603,5.717667,75.61041,47.477654,5.2731668E9,5.52521169E14,0.029199988168556956
2659403,3.41844802E14,1426.7043,27000000000000,17101,5.1876187,76.135895,47.60682,5.717667,75.61041,47.477654,6.6645069E9,5.52521169E14,0.5737665590277174
2659780,3.41844802E14,1426.7043,27000000000000,17101,6.5281563,76.096504,47.789238,5.717667,75.61041,47.477654,1.33232916E10,5.52521169E14,0.9902626477526155
2660443,3.41844802E14,1426.7043,27000000000000,17101,6.2436433,76.37182,48.226524,5.717667,75.61041,47.477654,3.40024474E9,5.52521169E14,1.4171975052195194
2661188,3.41844802E14,1426.7043,27000000000000,17101,1.4646208,73.74777,47.89864,5.717667,75.61041,47.477654,6.4597801E9,5.52521169E14,21.735059130751324
2661641,3.41844802E14,1426.7043,27000000000000,17101,6.727034,75.420395,47.20224,5.717667,75.61041,47.477654,5.0010726E9,5.52521169E14,1.1307810483885987
2662012,3.41844802E14,1426.7043,27000000000000,17101,6.197665,76.10699,46.968777,5.717667,75.61041,47.477654,1.04290611E9,5.52521169E14,0.7359399219624265
2662417,3.41844802E14,1426.7043,27000000000000,17101,6.963637,76.42829,47.94248,5.717667,75.61041,47.477654,2.61412762E9,5.52521169E14,2.437428259250737
2662737,3.41844802E14,1426.7043,27000000000000,17101,1.8861768,73.85259,47.851276,5.717667,75.61041,47.477654,5.6477906E9,5.52521169E14,17.90984342671851
2663001,3.41844802E14,1426.7043,27000000000000,17101,2.485705,73.88962,47.850754,5.717667,75.61041,47.477654,1.07225477E10,5.52521169E14,13.545917830375402
2663909,3.41844802E14,1426.7043,27000000000000,17101,6.9751577,76.42134,48.044487,5.717667,75.61041,47.477654,4.4886523E9,5.52521169E14,2.560187689481836
2664440,3.41844802E14,1426.7043,27000000000000,17101,5.7169447,75.393234,47.74945,5.717667,75.61041,47.477654,8.991319E9,5.52521169E14,0.12104066244341993
2664958,3.41844802E14,1426.7043,27000000000000,17101,5.0523605,74.41078,47.320942,5.717667,75.61041,47.477654,4.831062E9,5.52521169E14,1.9063052542990135
2665711,3.41844802E14,1426.7043,27000000000000,17101,3.3032267,73.86763,47.787304,5.717667,75.61041,47.477654,1.03038624E9,5.52521169E14,8.962696962500615
