id,SM,x,Metal,y,z
19275868,1.07111872E9,58.076225,0.024549024,41.91365,89.64496
27018022,1.15867789E9,91.821846,0.040727764,14.448741,36.872406
19877258,1.3768695E9,28.528807,0.017660176,78.24181,59.611595
20717361,1.38528525E9,13.6157055,0.020422742,67.21418,0.9723435
18921533,1.55538291E9,47.11201,0.049093958,16.105616,8.571756
19591808,1.44128883E9,53.911022,0.03838997,46.169704,78.93293
26907436,1.10867904E9,69.733894,0.022955958,6.2106504,94.40021
14694741,1.28766298E9,47.85742,0.046758324,37.856754,63.157146
61976073,1.6846441E9,62.057743,0.031035746,34.07427,20.820742
64771922,1.29080589E9,75.24588,0.03520425,26.838129,61.366947
62953290,1.61299443E9,84.96726,0.025257526,47.498955,8.153417
25120413,1.44890918E9,69.213104,0.04001925,81.578255,87.48414
19485633,1.22370099E9,85.63404,0.042200007,61.105156,39.729546
27264785,1.12413568E9,79.68174,0.028401993,42.935024,55.422485
56132822,1.09740237E9,2.5419736,0.018908236,73.86579,48.359287
27074928,1.2766153E9,13.526005,0.024810381,67.225685,0.84973115
14783812,1.70661146E9,40.408955,0.03655361,98.128136,99.01167
17254875,1.29814963E9,43.760998,0.04371784,77.49721,35.112263
14589544,2.02211546E9,83.55767,0.02459275,64.61752,73.26711
64692534,1.49154752E9,33.773796,0.035072718,66.09548,9.348347
61921896,1.78298035E9,76.11824,0.034955077,89.308044,41.88043
20768804,1.55033933E9,16.093658,0.034015134,82.56587,64.48093
25884016,1.42386163E9,4.764522,0.046223056,59.53359,54.28941
24621209,1.7143959E9,61.3148,0.013935275,33.052498,20.236279
27284792,1.2610464E9,35.02035,0.04008147,71.41488,43.62659
16351063,1.01612358E9,69.36123,0.025635704,79.54939,87.77393
25170063,1.72527117E9,37.127625,0.03857476,44.902737,97.29885
54436685,1.710464E9,79.663376,0.03527001,43.073963,55.490395
61971814,1.69801933E9,61.318317,0.028916357,33.154037,20.28726
20304458,1.45378675E9,65.75616,0.024885181,67.97335,14.853704
28686197,1.1279936E9,4.0611906,0.019268362,67.76134,40.097702
49801395,1.62136166E9,83.75636,0.030761499,62.862125,45.058037
51196697,1.04086989E9,91.12377,0.029989755,52.25802,92.095085
53813279,1.04022726E9,92.66926,0.024075586,37.161644,60.636776
27051943,1.53350797E9,71.74941,0.03365082,73.57008,84.1892
16863972,1.14338701E9,67.63255,0.017925335,98.51334,1.6355764
53179097,1.44921856E9,47.82093,0.025799017,80.34001,10.574092
53221949,1.29315725E9,89.56489,0.025845664,57.874596,12.024397
50470880,2.48942387E9,47.34238,0.017227598,16.088882,8.623202
15273270,1.01726522E9,59.399982,0.02546021,34.724945,61.888393
26153382,1.19550246E9,6.9431863,0.026159812,52.30218,51.51887
53228623,1.84964928E9,66.25055,0.034471605,4.6892505,23.600443
51871456,1.03695994E9,85.57657,0.016340237,61.08176,39.75285
59949249,2.38712269E9,9.252347,0.04586335,35.204296,53.872425
54417980,1.4557463E9,78.12833,0.021259945,33.563816,54.602566
53825219,1.60766784E9,91.82074,0.028344775,14.498142,36.907352
14882413,1.3478153E9,27.278978,0.029940337,67.90688,12.330989
16423795,1.64596429E9,84.25335,0.029605774,31.823944,74.07839
51274883,1.03058829E9,67.13875,0.021077523,31.1295,23.701748
61598241,1.19813632E9,78.875725,0.014756469,79.28422,42.03978
49644695,1.71632768E9,15.562586,0.028085442,78.51536,52.832855
49645136,1.06678285E9,18.329382,0.014510332,79.8302,53.630028
58536902,1.0646073E9,91.9114,0.0201473,78.241135,51.371544
49649855,1.11405107E9,15.520325,0.022303553,78.55916,52.635868
16249529,3.17657062E9,59.312294,0.038943693,24.479542,0.49091282
28436526,1.75856205E9,5.051888,0.021688916,57.029785,38.552483
28229838,1.63495808E9,34.759842,0.026094882,26.065514,95.59676
49799517,3.44886374E9,83.734505,0.021144358,62.66997,44.99063
63886916,1.66042342E9,69.51886,0.019828008,81.4837,87.42119
61920006,1.07607795E9,76.09816,0.016201263,89.98078,41.66519
24622993,1.30757261E9,61.20097,0.02506503,33.034256,20.169
53859942,1.20040602E9,84.41005,0.01526063,24.110931,50.615852
50540124,1.28275008E9,95.600365,0.02284681,63.344944,54.17266
12701356,1.3839561E9,99.68669,0.024911687,70.73622,36.4183
28203193,1.19321869E9,32.53377,0.020968197,85.64227,79.66342
61977355,1.0498023E9,61.12331,0.018147085,33.12047,20.155571
51878683,2.87182029E9,13.360987,0.022007367,98.44907,59.466717
51184801,2.01075034E9,58.06529,0.025334233,41.88777,89.44322
57257126,1.30382912E9,74.25657,0.018477645,1.4525692,34.578743
27632859,1.51472909E9,83.55274,0.03079941,64.63952,73.24811
56213611,1.26087462E9,80.12014,0.018389057,98.38647,40.97227
22101430,1.25052493E9,50.370163,0.023661414,62.420166,48.64257
56766720,1.34438131E9,77.113815,0.022579884,87.29329,45.929104
50469897,3.06824602E9,47.170006,0.017456643,16.115587,8.591036
60030947,1.67474714E9,52.459805,0.02693631,4.718555,20.167841
11098814,1.11302707E9,80.6872,0.020066401,4.453511,69.76791
60886955,2.91012096E9,77.954865,0.0342372,76.88253,42.25224
57263450,1.14407962E9,68.248726,0.01896512,65.822876,6.7834644
52520088,1.26862899E9,96.62066,0.017493337,56.176426,96.64283
16749732,2.29571738E9,94.57484,0.03067768,72.808075,48.9915
49680978,2.05842611E9,15.561276,0.035236113,78.54131,52.7709
25506524,1.30811597E9,92.71401,0.019048918,57.51821,1.6753865
53250337,1.66250522E9,34.973755,0.020117259,38.453598,93.489456
27466971,3.05855155E9,47.41782,0.03408544,10.149798,38.55414
57307913,1.04932198E9,52.844177,0.013379024,9.670693,8.805863
27389951,2.07021018E9,81.74936,0.03653808,60.5141,43.263775
16466932,1.34550285E9,8.267378,0.02941461,56.11785,31.363108
58716291,2.00356979E9,93.17353,0.035769217,99.616356,31.339981
58324400,1.34386854E9,9.08462,0.023039645,38.772396,77.36079
16910586,2.12786189E9,52.016953,0.040509824,94.178535,92.458664
51234797,1.50722278E9,13.6308565,0.026926585,13.895928,60.014034
51935744,1.0117671E9,69.32907,0.01268004,57.436317,71.38428
54461932,2.14745203E9,66.15362,0.025680268,80.50263,91.79609
20638178,2.59421389E9,76.8691,0.04007287,7.9952435,73.67042
57781373,1.2292448E9,25.936296,0.018181188,73.85681,19.38872
11085295,1.14491251E9,51.083828,0.017979462,88.378334,0.3979062
19632381,1.8894807E9,29.70081,0.021612396,22.90127,94.20682
21656579,3.50825421E9,9.115441,0.029552301,35.04592,54.521797
56771678,1.24047744E9,47.403004,0.01879296,89.14051,10.251347
60034319,1.6320448E9,53.463947,0.020896833,5.0249767,19.752872
51182607,2.42809139E9,57.956696,0.013861777,41.99611,89.58707
54395194,1.04010182E9,82.27484,0.015279947,34.11861,9.226447
