id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
46047, 54.3989, 21.2882,  1.1486,  0.6462,  3.5429,5197140000.0000, 17.5099,  0.0194, 81.4124, 54.1516
49479, 54.4757, 21.0867,  1.1166,  0.6513,  3.5429,3939097600.0000, 17.0555,  0.0170, 81.1037, 53.2626
53604, 56.4683, 20.5307,  1.3182,  0.0000,  3.6154,5765827100.0000, 15.2319,  0.0167, 79.7779, 53.3232
62449, 55.9812, 20.5094,  1.1857,  5.1366,  3.6154,1449514500.0000, 14.7889,  0.0121, 79.7655, 51.4541
64987, 58.1128, 22.8382,  0.9615,  0.3111,  1.9220,1845698180.0000, 12.8381,  0.0109, 81.2707, 53.8654
66590, 62.0918, 24.5009,  0.6456,  0.0000,  1.9635,6840315400.0000,  8.9211,  0.0117, 81.3404, 55.6764
69313, 58.5660, 22.3272,  0.4095,  0.3750,  1.9220,2631864830.0000, 13.5042,  0.0160, 80.8027, 55.6722
70843, 56.9557, 18.7311,  0.1611,  1.0458,  2.5349,2318326780.0000, 14.3975,  0.0157, 77.7116, 51.2479
71505, 59.1731, 22.0892,  0.1871,  0.4077,  1.9220,1013730240.0000, 13.3282,  0.0140, 80.4067, 56.3738
73830, 55.1603, 17.5228,  0.7901,  3.8648,  3.6154,2637324540.0000, 18.0982,  0.0175, 77.6120, 53.8223
77232, 53.5422, 20.6039,  0.0672,  0.7088,  3.5429,3278962940.0000, 17.3076,  0.0171, 80.8601, 51.4667
82601, 54.9384, 17.2956,  1.0242,  3.8648,  3.6154,9713010700.0000, 18.3259,  0.0190, 77.4756, 53.6312
91672, 56.6118, 20.1320,  0.9416,  0.0000,  3.6154,2209663230.0000, 15.1507,  0.0122, 79.3338, 53.1373
93676, 58.3760, 21.4985,  0.4868,  0.0693,  1.9220,1655233920.0000, 13.0483,  0.0112, 79.9203, 53.7342
161352, 47.7596,-21.6967,  1.4264,  0.0288,  2.9394,2463917310.0000, 54.5955,  0.0108, 47.2484, 78.2590
174508, 84.4435,-33.5437,  2.4649,  0.0000,  2.4297,5855156700.0000, 28.9666,  0.0176, 22.8306, 93.5284
175125, 83.4208,-33.8322,  1.5441,  0.0000,  2.4297,4134272260.0000, 30.6215,  0.0148, 23.0823, 94.4346
242403, 14.2410,-37.3791,  0.5609,  6.1721,  1.9775,1037181700.0000, 91.3796,  0.0146, 45.7487, 69.0239
248932,-11.3554,-17.1358,  1.4132,  0.0000,  4.3126,1755226880.0000, 99.5526,  0.0149, 72.8045, 49.1026
628809, 18.2257,-57.1145,  1.1680,  0.0000,  4.2834,1092157310.0000, 75.7547,  0.0135, 22.0572, 30.9086
630781,-15.7254,-30.9454,  0.4904,  0.8598,  2.1796,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
645637, 13.1863, 13.6154,  0.1789, 14.9870, 14.3468,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
973239,  6.7153,  7.1739,  0.0555,  4.6137,  3.4458,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
983785, 41.8805,-66.0624,  0.2765,  0.3697,  1.3145,1039448700.0000, 76.9730,  0.0124,  8.5831, 74.2066
1001280, 74.7232,  4.1961,  0.0240,  1.8154,  1.3852,1332567940.0000,  3.5934,  0.0135, 57.4127, 54.7118
1006130, 17.2898,  3.4286,  0.7783,  2.6898,  7.0386,3278809090.0000, 65.1359,  0.0138, 80.6470, 56.9473
1019827, 58.8765, 23.6416,  0.6654,  1.9175,  2.3005,1989688450.0000, 16.7588,  0.0136, 82.7109, 63.6866
1033242, 50.9888,-65.4043,  0.6641,  0.0000,  1.8587,1677041150.0000, 61.5549,  0.0175,  4.2933, 63.2808
1033761, 50.3790,-65.0564,  0.4230,  0.0121,  1.8587,1671398780.0000, 61.9737,  0.0127,  4.8487, 63.1341
1042132, 73.7679, -4.1433,  2.7185,  0.0000,  1.1920,1541536510.0000,  6.3511,  0.0127, 49.8223, 51.4380
1042563, 73.6492, -4.2093,  2.7168,  0.0000,  1.1920,1381412480.0000,  6.2650,  0.0167, 49.7629, 50.9762
1337769,  2.7965, -4.8305,  1.6541,  0.7598,  3.0299,3066397700.0000, 74.8855,  0.0168, 77.2785, 39.7986
1338445,  3.2666, -5.3506,  1.4907,  0.8801,  3.0299,1330057980.0000, 74.3199,  0.0139, 76.5495, 39.2376
1338946,  2.8857, -4.9842,  1.5605,  0.9036,  3.0299,1211834500.0000, 74.9939,  0.0145, 77.1287, 40.0675
1352805, 40.6291, 11.0301,  0.0773,  5.5736,  6.8534,1029116670.0000, 33.1269,  0.0107, 77.0826, 48.2786
1363183, 70.1012,  2.1121,  0.4393,  6.7080,  9.9317,4933458400.0000,  6.7494,  0.0180, 56.8977, 49.7753
1363576, 69.5006,  3.7486,  0.1058,  7.8085,  9.9317,2723692540.0000,  6.5764,  0.0175, 58.6205, 49.5307
1398177, 49.2099,-56.9698,  0.0443,  0.1855,  1.4503,6354540000.0000, 47.2892,  0.0203, 10.2088, 38.6941
1399316, 46.3388, 14.8450,  0.0339,  1.1315,  2.6171,2376117500.0000, 27.8675,  0.0133, 78.6847, 52.7268
1412359, 72.0017,-22.3475,  0.5865,  3.5110,  3.8145,1305171460.0000, 16.3585,  0.0148, 33.9932, 52.6941
1421963, 77.9151,  2.1270,  0.0222,  0.0327,  7.7156,3555026180.0000,  2.7291,  0.0148, 54.5253, 57.8625
1706514,-21.3610,  9.9801,  0.5697,  2.4583,  4.7637,3379855360.0000, 80.5280,  0.0162, 98.1009, 13.5235
1724673, -5.3919,  0.3427,  4.8112,  0.0000,  4.1212,5435144200.0000, 82.2526,  0.0185, 85.5899, 41.6212
1727247, 30.1880,-64.5919,  1.3753,  0.7832,  1.7358,5540513800.0000, 82.7279,  0.0134, 13.5734, 62.7956
1727932, 30.9056,-64.8959,  1.6796,  0.7832,  1.7358,1250082820.0000, 82.4914,  0.0121, 13.0769, 63.5514
1728505, 30.3153,-63.8726,  2.0720,  0.7832,  1.7358,3347457540.0000, 82.1438,  0.0181, 14.1491, 62.4960
1755167, 24.9186,-46.9973,  0.3674,  2.4951,  2.1348,1222929790.0000, 60.3818,  0.0138, 27.7229, 22.7498
1762444, 32.5064, 26.3813,  0.4592,  3.7683,  2.6657,2044032260.0000, 29.6752,  0.0153, 93.3762, 37.3673
