id,xslice,yslice,SM,x,Metal,y,z
1731981,-58.8857,-30.3962,1225141380.0000, 34.3473,  0.0137, 16.2824, 58.4122
2089822,-45.3793,-31.1496,7327868400.0000, 21.9825,  0.0169, 26.6771, 45.3090
2115199,-47.5828, 66.3187,1434510210.0000, 97.9915,  0.0164, 90.4432, 61.9968
2119506,-111.2719,  8.6059,1152456190.0000, 91.1147,  0.0117,  8.2498,  9.7273
2363904,-32.4720,  5.7775,29498712100.0000, 40.0390,  0.0231, 61.3853, 45.5003
2366209,-32.2426,  5.9067,1277972740.0000, 39.9535,  0.0139, 61.6501, 45.3925
2386189,-23.5504, -8.3841,3697250560.0000, 24.4821,  0.0140, 57.7716, 51.6884
2386464,-23.2309, -8.8239,1753678210.0000, 23.9233,  0.0135, 57.7103, 51.6219
2386903,-22.8135, -8.2131,1287398020.0000, 24.0708,  0.0155, 58.4373, 51.5806
2527634,-53.8915,-38.7440,2302912510.0000, 26.2498,  0.0137, 13.5759, 67.0579
2527975,-53.7012,-38.7632,3817188350.0000, 26.0706,  0.0150, 13.7159, 66.8803
2535191,-30.8731, -4.4929,6681871900.0000, 36.3943,  0.0193, 53.3745, 73.7461
2552987,-41.7266, 68.8944,2109134460.0000, 91.4306,  0.0108, 98.3695, 37.5567
2580558,-53.9272,-46.6463,1424396800.0000, 21.3741,  0.0138,  7.7592, 72.1072
2594764,-58.9119,-10.7974,8364617700.0000, 46.1572,  0.0154, 30.7810, 43.8420
2600588,-11.2467,-35.9646,5118218800.0000,  1.3500,  0.0168, 45.4606, 84.0473
2601532,-11.2681,-35.7418,2343138560.0000,  1.5284,  0.0173, 45.5973, 84.0471
2734348, -7.3190,-10.6772,3854363900.0000, 16.7900,  0.0165, 65.7872, 82.0677
2757059,-60.3552,-28.3595,2453422850.0000, 36.5383,  0.0129, 16.7418, 56.5233
2764956, 17.5997,  6.2830,3434347010.0000,  8.6921,  0.0138, 96.9745, 64.9562
2765653, 17.2214,  6.2444,1000066500.0000,  8.9480,  0.0128, 96.6626, 65.0601
2777512,-42.8112, 71.2115,5220673500.0000, 92.8294,  0.0157, 99.6165, 31.5679
2793340,-73.8616,-14.2138,2547052030.0000, 51.6013,  0.0168, 18.5768, 29.4701
2825631,-41.8347, 12.2094,1138128380.0000, 52.8165,  0.0122, 58.2769, 53.8568
2827243,-44.0606,-31.1519,1542576000.0000, 23.7097,  0.0139, 26.4986, 60.2719
2827834,-44.0453,-31.1244,1597306880.0000, 23.7305,  0.0121, 26.5238, 60.3361
2828292,-44.1491,-31.0913,1774273540.0000, 23.8729,  0.0144, 26.4509, 60.5902
2862600,-25.4200, 30.1805,1449090430.0000, 55.6106,  0.0126, 82.1172, 60.2848
2865443,-29.8125, 23.3872,2386133250.0000, 55.1217,  0.0157, 73.6418, 68.2255
2866135, 16.7223,  6.3968,1853459970.0000,  7.2474,  0.0174, 97.3327, 52.8716
2872485,-27.7542,  1.7183,5914796500.0000, 34.0124,  0.0159, 61.9559, 46.9928
2873256,-27.8669,  1.7199,1217467260.0000, 34.0307,  0.0109, 61.9011, 46.6434
2878573,-44.5520,  8.5962,6825503200.0000, 45.8740,  0.0196, 56.4844, 18.9150
2884645, -7.2295, -9.4035,1267947010.0000,  8.1701,  0.0136, 70.8139, 28.5814
2928230,-76.8449, 22.9882,1904675330.0000, 77.9027,  0.0154, 43.1600, 12.0883
2949354,-26.8653,  5.8107,2806650370.0000, 40.2550,  0.0153, 63.7413, 68.7726
2972348,-46.8380, 72.5877,7945332700.0000, 94.7998,  0.0158, 98.4085, 21.0437
2978458,-43.8884,-57.7514,1208073730.0000,  2.7609,  0.0157,  9.0003, 52.8596
