id,xslice,yslice,SM,x,Metal,y,z
50557950, 29.7231,-32.6526,1738642940.0000, 78.7023,  0.0172, 48.3543, 57.9747
50568635, 14.3728, -6.0995,3833766910.0000, 65.5647,  0.0178, 80.6350, 62.9442
50568935, 14.4926, -6.3293,18878201900.0000, 65.6855,  0.0212, 80.4075, 62.9956
50570384, 14.4237, -6.2173,2870144260.0000, 65.5992,  0.0237, 80.4746, 62.8931
50571335, 14.3428, -6.2318,2015337980.0000, 65.5447,  0.0244, 80.5284, 63.0275
51182339,  3.8567,-52.4930,3016796930.0000, 58.0329,  0.0178, 41.9663, 89.7944
51182607,  3.8187,-52.3640,2428091390.0000, 57.9567,  0.0139, 41.9961, 89.5871
51182950,  3.7517,-52.2961,1952288000.0000, 57.9346,  0.0156, 42.1804, 89.7849
51183211,  4.3910,-52.9754,3001713410.0000, 58.6148,  0.0178, 41.6069, 90.0861
51183444,  3.8890,-52.3501,3604219900.0000, 58.0353,  0.0220, 42.0315, 89.6149
51184105,  3.9365,-52.4577,1688473470.0000, 58.1316,  0.0187, 42.0504, 89.8648
51184475,  4.1478,-52.3208,1287728380.0000, 58.2294,  0.0095, 41.8932, 89.2810
51184801,  3.9571,-52.3954,2010750340.0000, 58.0653,  0.0253, 41.8878, 89.4432
51202817, 30.1797,-47.4218,10275560400.0000, 77.9214,  0.0357, 30.3816, 55.9823
51204295, 30.2788,-47.3931,6640006100.0000, 78.0408,  0.0325, 30.4631, 56.0598
51204809, 30.5914,-47.5666,1665660800.0000, 78.3484,  0.0119, 30.2765, 56.0498
51205021, 30.0055,-47.3130,1383117700.0000, 77.6493,  0.0098, 30.2371, 55.5170
51214018, -1.6671,  5.5982,2157798140.0000, 43.7692,  0.0156, 77.4342, 34.7930
51225375, 53.4595, -3.0561,1506313860.0000, 99.8066,  0.0170, 71.1375, 35.7692
51233846,-32.9043,-60.3534,2998136320.0000, 13.6463,  0.0167, 14.3671, 60.0523
51234415,-33.1512,-60.5760,1497093890.0000, 13.3519,  0.0139, 14.0216, 59.9135
51234797,-32.8900,-60.7476,1507222780.0000, 13.6309,  0.0269, 13.8959, 60.0140
51252586, 51.1583,-52.1052,2027814530.0000, 96.8808,  0.0141, 20.4716, 45.7225
51261907,-40.2117,-21.6194,3891945470.0000,  6.2665,  0.0206, 52.9139, 50.4724
51262132,-39.3831,-21.5680,1807867010.0000,  7.1383,  0.0216, 53.0769, 50.5770
51262740,-40.1281,-22.0601,1106028670.0000,  6.3214,  0.0134, 52.3987, 50.4438
51860300, 42.3099,-16.5494,1889086850.0000, 84.8717,  0.0134, 47.8463, 22.7690
51860560, 42.6583,-16.9081,1392449920.0000, 85.1862,  0.0120, 47.3996, 22.6686
51869947, 39.4612,-13.0699,1974938750.0000, 85.7972,  0.0193, 61.0950, 39.6873
51870266, 39.1613,-13.0788,1820266880.0000, 85.4863,  0.0189, 61.0579, 39.6688
51871456, 39.2332,-13.1023,1036959940.0000, 85.5766,  0.0163, 61.0818, 39.7529
51877772,-37.3579, 13.6409,1085414910.0000, 13.0635,  0.0102, 98.3808, 59.4280
51878014,-37.0309, 13.2456,1355518080.0000, 13.4265,  0.0103, 98.0787, 59.6644
51878683,-37.0763, 13.6680,2871820290.0000, 13.3610,  0.0220, 98.4491, 59.4667
51896556,  4.2302,-51.3820,1117340160.0000, 59.8663,  0.0143, 46.8559, 96.2521
51904548, 17.2131,-34.4046,3741617410.0000, 69.4509,  0.0176, 55.0370, 74.8056
51920833, 27.9123,-31.6059,1817181700.0000, 77.3002,  0.0168, 50.4587, 59.7833
51921208, 28.2250,-31.8470,1675296380.0000, 77.6074,  0.0126, 50.2036, 59.7891
51921357, 28.0033,-31.7432,4819999200.0000, 77.3860,  0.0330, 50.3080, 59.7856
51935744, 17.6117,-30.6581,1011767100.0000, 69.3291,  0.0127, 57.4363, 71.3843
51943080,-24.2370,-70.1061,1473761790.0000, 29.3468,  0.0137, 22.8194, 94.3696
51943554,-23.8427,-70.2235,1495253890.0000, 29.7369,  0.0201, 22.6914, 94.3417
51943770,-23.9743,-69.9576,1474517380.0000, 29.5717,  0.0220, 22.8703, 94.1301
51950790,-44.8709,-48.8739,1574158080.0000,  7.1775,  0.0163, 40.0775, 83.8247
51950987,-44.6749,-48.8091,7062191600.0000,  7.2036,  0.0283, 39.7027, 82.9994
