id,M,R,grpid,Num,SM
10417,3.34690753E12,115.03927,12000000000035,242,4.850462E7
10417,3.34690753E12,115.03927,12000000000035,242,4.850462E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10465,3.34690753E12,115.03927,12000000000035,242,1.2663492E7
10495,3.34690753E12,115.03927,12000000000035,242,1.204122E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
10495,3.34690753E12,115.03927,12000000000035,242,1.3200501E7
11428,3.34690753E12,115.03927,12000000000035,242,3.6121952E7
11428,3.34690753E12,115.03927,12000000000035,242,4.0002804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11428,3.34690753E12,115.03927,12000000000035,242,4.3758804E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
11670,3.34690753E12,115.03927,12000000000035,242,1.1603639E7
13585,3.34690753E12,115.03927,12000000000035,242,1.1087952E7
13585,3.34690753E12,115.03927,12000000000035,242,4.147736E7
13585,3.34690753E12,115.03927,12000000000035,242,5.0409212E7
13585,3.34690753E12,115.03927,12000000000035,242,5.7769528E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13585,3.34690753E12,115.03927,12000000000035,242,5.9492216E7
13647,2.49166378E12,104.26563,12000000000058,219,3.5670995E10
13647,2.49166378E12,104.26563,12000000000058,219,4.1341166E10
13647,2.49166378E12,104.26563,12000000000058,219,4.2179314E10
13647,2.49166378E12,104.26563,12000000000058,219,4.3753066E10
13647,2.49166378E12,104.26563,12000000000058,219,4.6432698E10
